,date,weighted_avg_sars_cov2,SOUTH WEST_LOWER BOUND,SOUTH WEST_UPPER BOUND,SOUTH WEST_AVERAGE,log_gene
0,2020-09-04,101.37543161838964,0.8,1.1,0.9500000000000001,2.005932716285411
1,2020-09-05,102.44733882646744,0.8142857142857143,1.1142857142857143,0.9642857142857143,2.0105006816440842
2,2020-09-06,103.51924603454523,0.8285714285714286,1.1285714285714286,0.9785714285714286,2.0150211002234952
3,2020-09-07,1631.5902421951014,0.8428571428571429,1.1428571428571428,0.9928571428571429,3.2126110993335253
4,2020-09-08,1479.650800732309,0.8571428571428572,1.1571428571428573,1.0071428571428571,3.1701592334969515
5,2020-09-09,1327.711359269517,0.8714285714285714,1.1714285714285715,1.0214285714285716,3.1231036708893516
6,2020-09-10,712.457363333549,0.8857142857142857,1.1857142857142857,1.0357142857142858,2.8527588793149032
7,2020-09-11,97.20336739758092,0.9,1.2,1.05,1.987681310367179
8,2020-09-12,434.4825161498052,0.9,1.2571428571428571,1.0785714285714285,2.6379723048527257
9,2020-09-13,771.7616649020295,0.9,1.3142857142857143,1.1071428571428572,2.8874832024097827
10,2020-09-14,4314.1811448341805,0.9,1.3714285714285714,1.1357142857142857,3.6348983764063676
11,2020-09-15,3128.7236316990166,0.9,1.4285714285714286,1.1642857142857144,3.4953672024785662
12,2020-09-16,1943.2661185638522,0.9,1.4857142857142858,1.1928571428571428,3.2885322786800106
13,2020-09-17,1548.9081636920907,0.9,1.542857142857143,1.2214285714285715,3.1900256687701027
14,2020-09-18,1154.5502088203293,0.9,1.6,1.25,3.0624128241648196
15,2020-09-19,967.0143209724212,0.9285714285714286,1.5714285714285714,1.25,2.985432905803006
16,2020-09-20,779.478433124513,0.9571428571428572,1.542857142857143,1.25,2.8918041034830506
17,2020-09-21,837.6383232894538,0.9857142857142858,1.5142857142857142,1.25,2.9230565387906484
18,2020-09-22,1080.8145162314297,1.0142857142857142,1.4857142857142858,1.25,3.033751168986653
19,2020-09-23,1323.9907091734055,1.042857142857143,1.457142857142857,1.25,3.1218849375441047
20,2020-09-24,1597.156342328691,1.0714285714285716,1.4285714285714284,1.25,3.2033474304073013
21,2020-09-25,1870.3219754839763,1.1,1.4,1.25,3.2719163766644512
22,2020-09-26,2295.9564411471674,1.1,1.4,1.25,3.360963644375382
23,2020-09-27,2721.5909068103583,1.1,1.4,1.25,3.4348228452364973
24,2020-09-28,2966.0202460339924,1.1,1.4,1.25,3.472174111193656
25,2020-09-29,2053.670834406475,1.1,1.4,1.25,3.3125308354361382
26,2020-09-30,1141.3214227789574,1.1,1.4,1.25,3.0574079691169085
27,2020-10-01,739.2675641803344,1.1,1.4,1.25,2.8688016516776695
28,2020-10-02,337.2137055817114,1.1,1.4,1.25,2.5279052176061634
29,2020-10-03,688.3557633761341,1.1285714285714286,1.4285714285714286,1.2785714285714287,2.8378129529702485
30,2020-10-04,1039.4978211705566,1.1571428571428573,1.457142857142857,1.3071428571428572,3.016823583369656
31,2020-10-05,6115.531394850361,1.1857142857142857,1.4857142857142858,1.3357142857142859,3.7864342000189612
32,2020-10-06,5419.913293962446,1.2142857142857144,1.5142857142857142,1.3642857142857143,3.733992338889889
33,2020-10-07,4724.295193074531,1.2428571428571429,1.542857142857143,1.392857142857143,3.674337026265362
34,2020-10-08,4724.295193074531,1.2714285714285714,1.5714285714285716,1.4214285714285717,3.674337026265362
35,2020-10-09,4724.295193074531,1.3,1.6,1.4500000000000002,3.674337026265362
36,2020-10-10,6075.990565690248,1.3,1.6,1.4500000000000002,3.78361709085371
37,2020-10-11,7427.685938305966,1.3,1.6,1.4500000000000002,3.8708535323665814
38,2020-10-12,23908.032414936137,1.3,1.6,1.4500000000000002,4.378543835986236
39,2020-10-13,18050.022910206753,1.3,1.6,1.4500000000000002,4.256477757475475
40,2020-10-14,12192.013405477373,1.3,1.6,1.4500000000000002,4.086075431515345
41,2020-10-15,8072.010053624572,1.3,1.6,1.4500000000000002,3.9069816941395277
42,2020-10-16,3952.0067017717706,1.3,1.6,1.4500000000000002,3.5968176723882705
43,2020-10-17,8679.055893651223,1.3,1.6,1.4500000000000002,3.938472485259699
44,2020-10-18,13406.105085530675,1.3,1.6,1.4500000000000002,4.127302619345879
45,2020-10-19,5680.147170430641,1.3,1.6,1.4500000000000002,3.7543595882599465
46,2020-10-20,3498.4802397618737,1.3,1.6,1.4500000000000002,3.543879425257845
47,2020-10-21,1316.8133090931062,1.3,1.6,1.4500000000000002,3.1195242073248206
48,2020-10-22,2277.259960906055,1.3,1.6,1.4500000000000002,3.357412610387972
49,2020-10-23,3237.7066127190037,1.3,1.6,1.4500000000000002,3.5102374922709703
50,2020-10-24,3205.860812124538,1.2857142857142858,1.5857142857142859,1.435714285714286,3.5059446627971407
51,2020-10-25,3174.0150115300726,1.2714285714285714,1.5714285714285714,1.4214285714285715,3.5016089764230065
52,2020-10-26,16716.533630876373,1.2571428571428571,1.5571428571428572,1.4071428571428573,4.223146226389146
53,2020-10-27,14617.929628989024,1.2428571428571429,1.542857142857143,1.392857142857143,4.164885866850505
54,2020-10-28,12519.325627101676,1.2285714285714286,1.5285714285714287,1.3785714285714288,4.097580935558399
55,2020-10-29,14403.681287029103,1.2142857142857142,1.5142857142857142,1.3642857142857143,4.1584735030896995
56,2020-10-30,16288.036946956528,1.2,1.5,1.35,4.211868745789348
57,2020-10-31,18164.330185451647,1.2,1.4857142857142858,1.342857142857143,4.259219387768476
58,2020-11-01,20040.623423946767,1.2,1.4714285714285713,1.3357142857142856,4.301911227443147
