"c_compartment","i_compartment"
0,0.025
0.0251294363274959,0.0291557740460506
0.0547401753952381,0.0364369033431669
0.0910364614893155,0.046887147384981
0.135822563759363,0.0608270527242834
0.190423809702061,0.0787046675705907
0.255416235637063,0.100949629429495
0.330246807364363,0.127807723418535
0.412894310783306,0.159156891769013
0.499787153026651,0.194338406459504
0.586181443375114,0.232066598041318
0.667028443914137,0.270483152374383
0.73808426289491,0.307386801760362
0.796789670748987,0.3405842304512
0.842565704114915,0.368252568586608
0.876478713035588,0.389194811463365
0.900553794100928,0.402921923777705
0.917080307650305,0.409578884048367
0.928156953400968,0.409774814717889
0.935467765874674,0.404400263130536
0.940256487798793,0.39446051620504
0.943389633218065,0.380958497457799
0.945447979947531,0.36482080730832
0.946811249333306,0.346860351501133
0.947724370718379,0.327763113277133
0.94834414664687,0.308090771528566
0.948771065236312,0.288290867828928
0.949069758632541,0.268711006787337
0.949282080565443,0.249613904544308
0.949435536976009,0.231191687391116
0.949548092744801,0.213578686566088
0.949631929050621,0.196863067997993
0.949695304954461,0.181096431880942
0.949743883507647,0.166301824676678
0.949781610646093,0.152480314503468
0.949811278308276,0.139616523888685
0.94983488022146,0.127682931729616
0.9498538593532,0.11664336962673
0.949869272905847,0.106455832519878
0.949881911990065,0.0970747756861625
0.949892366568607,0.0884525729752341
0.949901081675905,0.0805409087080483
0.949908399832939,0.0732918437956049
0.94991458609217,0.0666584733317532
0.949919847803316,0.0605954727255583
0.949924348373456,0.0550594542796313
0.949928217492602,0.0500092050043023
0.949931559352611,0.0454058427024234
0.949934458164369,0.0412128685956724
0.949936982477682,0.0373961764256029
0.9499391884871,0.0339240198714758
0.949941122565739,0.0307669460708638
0.949942823223776,0.0278977078138521
0.949944322633068,0.0252911607458851
0.949945647822504,0.0229241510796794
0.949946821621561,0.0207753982891137
0.949947863409993,0.0188253760344453
0.94994878971724,0.0170561938011878
0.949949614704606,0.0154514810916899
0.949950350555394,0.0139962754858138
0.949951007792361,0.0126769154849841
0.949951595537447,0.0114809387373842
0.949952121725315,0.0103969860321914
0.94995259327872,0.00941471186077486
0.949953016255875,0.00852469974748661
0.949953395979807,0.00771838016608557
0.949953737131433,0.00698796296912839
0.949954043837108,0.00632636952731591
0.949954319745163,0.00572716894748155
0.949954568087048,0.00518452135728603
0.949954791730233,0.00469312545502377
0.949954993223563,0.00424817032026701
0.949955174836241,0.00384529123486843
0.949955338591429,0.00348052929387613
0.949955486295315,0.00315029447567839
0.949955619562345,0.00285133192482565
0.949955739837184,0.00258069120055474
0.949955848413877,0.00233569824492524
0.949955946452635,0.00211392985265208
0.949956034994556,0.00191319043353555
0.949956114974572,0.00173149087333011
0.949956187232868,0.00156702931403491
0.949956252524969,0.00141817368721455
0.949956311530663,0.00128344584710176
0.949956364861923,0.00116150716240399
0.949956413069932,0.00105114543709505
0.949956456651346,0.000951263036947584
0.94995649605386,0.000860866130396833
0.94995653168123,0.000779054823508817
0.949956563897615,0.000705014505625595
