"c_compartment_r2","e_compartment_r2","i_compartment_r2"
0,5e-05,5e-05
1.04801304889795e-05,5.04377210170483e-05,5.48017914603824e-05
2.18918851715292e-05,5.16450012323112e-05,5.92997243303647e-05
3.41889536110177e-05,5.34379601973961e-05,6.3654510944724e-05
4.7352941945655e-05,5.56918808921258e-05,6.79816563552312e-05
6.13867758324468e-05,5.83259137031214e-05,7.2363455616754e-05
7.6307786757057e-05,6.12870201485233e-05,7.68615930834845e-05
9.21441176181987e-05,6.45414846117725e-05,8.15238332257416e-05
0.000108932450706185,6.80694256313619e-05,8.63883730362144e-05
0.000126716430939593,7.18608753730636e-05,9.14869738439841e-05
0.000145545607528794,7.59130229934235e-05,9.68471884061092e-05
0.000165474754093806,8.02283016048783e-05,0.000102493933574448
0.000186563456470626,8.48130651077765e-05,0.000108450606884172
0.000208875890732779,8.96766770270637e-05,0.00011473988618362
0.00023248073801314,9.48308882995499e-05,0.000121384308645324
0.000257451199021186,0.000100289418092292,0.000128406696517662
0.00028385502056306,0.000106065627396078,0.000135827504553452
0.000311787014476892,0.000112178789332839,0.000143674781055253
0.000341331651846296,0.000118646756968549,0.000151972827756599
0.00037258149957234,0.000125489248051838,0.000160748116931194
0.000405634568041082,0.000132727258632461,0.000170028552887847
0.000440594560060799,0.000140383172574617,0.000179843485590953
0.000477571180935288,0.000148480762410001,0.000190223863310766
0.000516680461755456,0.000157045227354036,0.000201202354545786
0.000558044683183691,0.000166103162779395,0.000212813339675846
0.000601794088273196,0.000175682927959144,0.000225093393925517
0.000648065849803848,0.000185814399906535,0.000238081018609892
0.000697004994793506,0.000196529172847033,0.00025181689985657
0.000748764915765478,0.00020786066720012,0.000266344052129575
0.00080350778596844,0.000219844211659488,0.000281707940531138
0.000861405057617061,0.000232517148541394,0.000297956620823917
0.000922637986803843,0.000245918945115877,0.00031514088636252
0.000987398186706171,0.000260091310094267,0.000333314423520509
0.00105588821192759,0.000275078317436479,0.00035253397480972
0.00112832217507369,0.000290926536987001,0.000372859510668159
0.00120492639714496,0.000307685172017659,0.000394354410556781
0.00128594009358717,0.000325406204222369,0.000417085653658764
0.00137161609776409,0.000344144546378163,0.000441124019758651
0.00146222162372578,0.000363958202965217,0.000466544300843855
0.00155803907025626,0.000384908439120523,0.000493425523932673
0.0016593668682449,0.000407059958263998,0.000521851185685856
0.00176652037351071,0.00043048108875352,0.000551909499369036
0.00187983280729486,0.0004552439799438,0.000583693654741562
0.00199965624671505,0.000481424808023946,0.000617302091468448
0.00212636266755601,0.000509103992013836,0.00065283878666695
0.00226034504184969,0.000538366420303195,0.000690413557212784
0.00240201849277502,0.000569301688116183,0.000730142377445109
0.00255182150948019,0.000602004346281429,0.00077214771292121
0.00271021722450034,0.000636574161681608,0.000816558870881508
0.00287769475650731,0.000673116389746846,0.000863512368093036
0.00305477062118621,0.000711742059342521,0.00091315231674404
0.00324199021308343,0.000752568270383652,0.000965630829063333
0.00343992936131111,0.000795718504484319,0.00102110844133496
0.00364919596202216,0.000841322948920825,0.00107975455797084
0.0038704316329352,0.000889518822727458,0.00114174790070726
0.00410431366627832,0.000940450759003143,0.00120727703775824
0.00435155679284647,0.000994271147678123,0.00127654085989318
0.00461291512349326,0.00105114050937637,0.00134974910334539
0.00488918426587904,0.00111122789866389,0.00142712291998691
0.00518120346683529,0.00117471130962029,0.00150889545047103
0.00548985787935447,0.00124177809970568,0.00159531242943877
0.00581608089791169,0.00131262542136557,0.00168663280726785
0.00616085654772434,0.00138746065760241,0.00178312938320166
0.00652522212419296,0.00146650189728208,0.00188508950281252
0.00691027082625424,0.00154997840224927,0.00199281574942285
0.00731715442374949,0.00163813107238873,0.00210662664153633
0.00774708638433177,0.00173121298096169,0.00222685744710035
0.00820134466387541,0.00182948984329221,0.00235386090286872
0.00868127474888027,0.00193324051565376,0.00248800799480066
0.00918829293917252,0.00204275751804042,0.00262968879959873
0.00972388962615303,0.00215834754628047,0.00277931331121571
0.010289632714545,0.00228033198733905,0.00293731229824376
0.0108871710991269,0.00240904742440271,0.00310413816826487
0.0115182381600993,0.00254484612230073,0.00328026582535458
0.012184655569701,0.00268809653430421,0.0034661935958954
0.0128883370100554,0.00283918376963896,0.00366244411586473
0.0136312918654389,0.00299851002728082,0.00386956519981314
0.0144156294599232,0.00316649505605517,0.00408813082385712
0.0152435627253789,0.00334357651529593,0.00431874194849925
0.0161174121038803,0.00353021031209448,0.00456202737652459
0.0170396096427832,0.00372687089536358,0.00481864464514512
0.0180127029348686,0.00393405149150563,0.00508928083228303
0.0190393590712201,0.00415226426202163,0.00537465333769595
0.020122368494212,0.00438204037759321,0.00567551061066166
0.0212646486611149,0.00462392998739954,0.00599263278823694
0.0224692478472955,0.00487850208713824,0.0063268323145019
0.0237393485856965,0.00514634425979238,0.00667895441856558
0.0250782709334022,0.00542806227128732,0.00704987749203383
0.026489475483757,0.00572427949829324,0.00744051334370367
0.0279765660656236,0.0060356361775319,0.00785180730127616
0.0295432920681046,0.00636278845067611,0.00828473814116668
0.0311935503243499,0.00670640718126028,0.00874031782219406
0.0329313864827512,0.00706717652056132,0.00921959099518237
0.0347609957864984,0.00744579219596884,0.0097236342598581
0.0366867231760357,0.00784295949452708,0.010253555137744
0.038713062622322,0.00825939091343098,0.010810490727202
0.0408446555918761,0.00869580344796424,0.0113956060046927
0.0430862885378707,0.00915291548665716,0.0120100917340161
0.0454428893050052,0.00963144328302345,0.0126551619431029
0.0479195223296438,0.0101320969731195,0.0133320509259494
0.0505213825109805,0.0106555761085681,0.0140420097255007
0.0532537876239652,0.0112025646756508,0.014786302051787
0.056122169140612,0.0117737255726846,0.0155661995885265
0.0591320613233755,0.0123696945202988,0.0163829766407864
0.0622890884528046,0.0129910733825133,0.017237904076277
0.0655989500519813,0.0136384228808231,0.0181322425135617
0.0690674039726588,0.0143122546889403,0.0190672347120318
0.0727002472129037,0.0150130229025516,0.0200440971210687
0.0765032943438013,0.0157411148865483,0.0210640105495542
0.0804823534338008,0.0164968415117792,0.022128109921959
0.084643199373968,0.0172804268045635,0.0232374730938002
0.088991544526171,0.0180919970450596,0.0243931087074894
0.0935330077375457,0.0189315697398797,0.0255959435281384
0.0982730765266418,0.0197990407197845,0.0268468071590148
0.103217071633673,0.02069417278757,0.028146417873991
0.108370107264773,0.0216165834784525,0.0294953668600963
0.113737047068996,0.0225657320201547,0.0308941010840496
0.119322458983105,0.0235409069733714,0.0323429057218494
0.125130567594141,0.0245412139378466,0.033841885881536
0.131165204384122,0.0255655635769776,0.0353909477830411
0.137429756296844,0.0266126603272461,0.0369897794584336
0.143927112948725,0.027680991917414,0.0386378312378065
0.15065961295283,0.0287688199867523,0.040334296205671
0.157628989890475,0.0298741721036582,0.0420780908467068
0.16483631812503,0.0309948354292161,0.0438678360614398
0.172281960112942,0.0321283522882542,0.0457018391528682
0.179965516691566,0.0332720183672222,0.0475780773766278
0.187885776134295,0.0344228829897381,0.0494941816199087
0.196040669117205,0.0355777524825001,0.051447423016618
0.204427227308203,0.0367331966651799,0.0534347015612376
0.213041546881954,0.0378855587586067,0.0554525372880302
0.221878757923231,0.0390309688201892,0.0574970645501283
0.230933000623076,0.0401653609168666,0.0595640297555032
0.24019740911658,0.0412844941278155,0.0616487929500391
0.249664103746849,0.0423839773854535,0.063746333623361
0.259324192465962,0.0434592981051504,0.0658512610576026
0.26916778197425,0.0445058544602901,0.0679578294951642
0.279183999068424,0.0455189910652644,0.0700599583405987
0.289361022517825,0.0464940377359603,0.0721512575351414
0.299686125615707,0.0474263509003198,0.0742250581575005
0.310145729364051,0.0483113571379022,0.0762744482091564
0.32072546605021,0.0491445982403926,0.078292313438428
0.331410252766398,0.0499217771072699,0.0802713829480724
0.342184374214781,0.0506388037263825,0.0822042792184991
0.353031573937798,0.0512918404412626,0.0840835720659459
0.363935152921941,0.0518773456784103,0.0859018359457018
0.374878074349896,0.0523921153008906,0.0876517099082178
0.385843073126824,0.0528333207709655,0.0893259594243473
0.39681276868712,0.0531985433448462,0.090917539218515
0.407769775707198,0.0534858026806701,0.0924196541532312
0.418696829265858,0.0536935837468931,0.0938258271196322
0.429576889992346,0.0538208530021161,0.0951299546843986
0.440393252199605,0.0538670701602062,0.0963263636453089
