"x","y1","y2","y3","y4","y5"
2855656.05394,-759.301933723811,164.22692778087,1181.4514551485,2245.07353894268,2662.9249895731
3018956.29350234,-759.301900184865,164.226963661422,1181.45149127129,2245.07357465358,2662.92502771848
3126403.55736657,-759.30187811712,164.226987269882,1181.45151503914,2245.07359815041,2662.92505281715
3131783.00855121,-759.301877012277,164.226988451862,1181.4515162291,2245.0735993268,2662.92505407373
3141656.09616749,-759.301874984521,164.22699062119,1181.45151841307,2245.07360148587,2662.92505637999
3151222.40456811,-759.301873019773,164.226992723113,1181.45152052919,2245.07360357786,2662.92505861459
3156458.24196994,-759.301871944425,164.226993873538,1181.45152168738,2245.07360472284,2662.92505983763
3162239.0323119,-759.301870757155,164.226995143701,1181.45152296612,2245.073605987,2662.92506118797
3189623.26995758,-759.301865132922,164.227001160603,1181.45152902364,2245.07361197545,2662.92506758467
3194842.47784254,-759.30186406099,164.227002307375,1181.45153017816,2245.0736131168,2662.92506880383
3196855.18443052,-759.301863647617,164.22700274961,1181.45153062338,2245.07361355694,2662.92506927398
3198091.42695661,-759.301863393714,164.227003021238,1181.45153089684,2245.07361382729,2662.92506956275
3201682.67208255,-759.301862656137,164.227003810312,1181.45153169124,2245.07361461263,2662.92507040163
3209994.74393573,-759.301860948986,164.227005636652,1181.45153352991,2245.07361643034,2662.92507234325
3210907.30322779,-759.301860761563,164.22700583716,1181.45153373177,2245.0736166299,2662.92507255642
3211532.36012526,-759.301860633187,164.227005974499,1181.45153387004,2245.07361676659,2662.92507270243
3217190.33479392,-759.30185947114,164.227007217677,1181.45153512161,2245.07361800388,2662.92507402407
3221608.03506403,-759.301858563824,164.22700818834,1181.45153609883,2245.07361896996,2662.92507505601
3222507.76103191,-759.301858379036,164.227008386029,1181.45153629785,2245.07361916671,2662.92507526618
3223392.32819805,-759.301858197362,164.227008580387,1181.45153649352,2245.07361936015,2662.9250754728
3225086.84627143,-759.301857849338,164.227008952709,1181.45153686836,2245.07361973071,2662.92507586863
3225136.36298357,-759.301857839169,164.227008963589,1181.45153687931,2245.07361974154,2662.92507588019
3228659.93123254,-759.301857115491,164.227009737792,1181.45153765874,2245.07362051208,2662.92507670326
3247375.01392858,-759.301853271748,164.227013849896,1181.4515417986,2245.07362460474,2662.92508107493
3262503.06687039,-759.301850164717,164.227017173852,1181.451545145,2245.07362791298,2662.9250846087
3265098.13544226,-759.301849631736,164.227017744044,1181.45154571904,2245.07362848048,2662.92508521488
3265813.89790828,-759.301849484731,164.227017901312,1181.45154587737,2245.073628637,2662.92508538208
3270381.8279756,-759.30184854656,164.227018904984,1181.45154688782,2245.07362963593,2662.9250864491
3271124.66159576,-759.301848393995,164.227019068201,1181.45154705214,2245.07362979838,2662.92508662262
3278211.97995359,-759.301846938387,164.227020625436,1181.45154861989,2245.07363134825,2662.92508827815
3291297.5606696,-759.301844250843,164.227023500618,1181.45155151448,2245.07363420983,2662.92509133482
3294732.19624936,-759.30184354543,164.22702425528,1181.45155227424,2245.07363496093,2662.92509213712
3297455.29895199,-759.301842986154,164.227024853604,1181.4515528766,2245.07363555642,2662.92509277321
3298920.21719847,-759.301842685286,164.227025175478,1181.45155320065,2245.07363587678,2662.9250931154
3299435.72923259,-759.301842579409,164.227025288747,1181.45155331468,2245.07363598951,2662.92509323582
3302978.62672208,-759.301841851761,164.227026067197,1181.45155409839,2245.07363676428,2662.92509406341
3303735.37765965,-759.301841696338,164.227026233472,1181.45155426579,2245.07363692977,2662.92509424017
3305113.31512414,-759.301841413334,164.227026536234,1181.45155457059,2245.0736372311,2662.92509456205
3307437.60723919,-759.301840935966,164.227027046931,1181.45155508474,2245.07363773938,2662.92509510498
3309965.56142129,-759.30184041677,164.227027602376,1181.45155564393,2245.0736382922,2662.92509569549
3320235.74028302,-759.301838307459,164.227029858954,1181.45155791574,2245.07364053811,2662.9250980945
3321059.50964954,-759.301838138271,164.227030039954,1181.45155809797,2245.07364071825,2662.92509828693
3329691.63394315,-759.301836365388,164.227031936616,1181.45156000743,2245.07364260594,2662.92510030331
3333611.18021611,-759.301835560383,164.227032797824,1181.45156087446,2245.07364346308,2662.92510121888
3337713.88429666,-759.301834717761,164.227033699276,1181.45156178199,2245.07364436027,2662.92510217723
3337883.84200864,-759.301834682855,164.227033736619,1181.45156181959,2245.07364439744,2662.92510221693
3343947.20091342,-759.301833437549,164.227035068869,1181.45156316083,2245.07364572339,2662.92510363328
3345718.12314687,-759.301833073833,164.227035457978,1181.45156355257,2245.07364611066,2662.92510404695
3353958.84988631,-759.301831381335,164.227037268642,1181.45156537546,2245.07364791276,2662.9251059719
3354583.33102754,-759.301831253078,164.227037405854,1181.4515655136,2245.07364804932,2662.92510611777
3355432.68714095,-759.301831078636,164.227037592475,1181.45156570148,2245.07364823506,2662.92510631618
3358097.39549064,-759.301830531352,164.227038177969,1181.45156629092,2245.07364881779,2662.92510693863
3362720.30299846,-759.30182958189,164.22703919372,1181.45156731353,2245.07364982874,2662.92510801849
3363437.84690013,-759.301829434519,164.22703935138,1181.45156747226,2245.07364998565,2662.92510818611
3367203.49164731,-759.301828661123,164.227040178772,1181.45156830523,2245.07365080913,2662.92510906572
3371877.80756271,-759.301827701102,164.22704120582,1181.45156933922,2245.07365183132,2662.9251101576
3373077.61966578,-759.301827454683,164.227041469444,1181.45156960462,2245.0736520937,2662.92511043786
3376363.2567269,-759.301826779871,164.227042191369,1181.45157033142,2245.07365281221,2662.92511120536
3384299.32932861,-759.301825149944,164.227043935093,1181.45157208692,2245.07365454769,2662.92511305915
3386234.42582501,-759.30182475251,164.227044360275,1181.45157251497,2245.07365497086,2662.92511351117
3392073.24190446,-759.301823553322,164.227045643188,1181.45157380654,2245.07365624771,2662.92511487506
3394172.9703153,-759.301823122075,164.227046104543,1181.45157427101,2245.07365670688,2662.92511536554
