,region,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,temp,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay
40,east midlands,2020-11-13,63716.219910791006,72524783421554.16,2845617.0,1.0942675526541459,1.1952004855785436,1.2961334185029416,"(264.72939612041955, 50.58412042098427, 4.2785527884979215, 7.6214262085267706, 9877321.503427904, 2.0, 54.32376514330985, 0.036872495490433185, 0.6165541603104002, 0.0, 21.40778198541828)",264.72939612041955,50.58412042098427,4.2785527884979215,7.6214262085267706,9877321.503427904,2.0,54.32376514330985,0.036872495490433185,0.6165541603104002,0.0,21.40778198541828
44,east midlands,2020-11-20,57539.07405212319,40380392810298.78,1754477.0,0.9984028712880045,1.097268144895473,1.1961334185029415,"(261.54278454491, 40.80383156917988, 3.5734491089635108, 7.572559908934548, 12591662.834918896, 2.0, 75.80420748811758, 0.05980414676282448, 1.0, 0.0, 21.623082082770722)",261.54278454491,40.80383156917988,3.5734491089635108,7.572559908934548,12591662.834918896,2.0,75.80420748811758,0.05980414676282448,1.0,0.0,21.623082082770722
48,east midlands,2020-11-27,19155.485295963685,21803669840577.715,2845617.0,0.8942675526541457,0.9942675526541457,1.0942675526541459,"(280.55247069440475, 39.2322557814351, 3.9586128958212354, 7.6214262085267706, 9877321.503427904, 2.0, 30.385204821639352, 0.036872495490433185, 0.4127579361523353, 0.0, 21.39162377321567)",280.55247069440475,39.2322557814351,3.9586128958212354,7.6214262085267706,9877321.503427904,2.0,30.385204821639352,0.036872495490433185,0.4127579361523353,0.0,21.39162377321567
52,east midlands,2020-12-04,47458.153682505166,54019091563019.72,2845617.0,0.7969562984630965,0.8494597133642601,0.9019631282654239,"(245.35119097194035, 46.866711858974696, 3.040312488975053, 7.6214262085267706, 9877321.503427904, 2.0, 77.73850180809852, 0.036872495490433185, 0.579681664819967, 0.0, 21.57614934944981)",245.35119097194035,46.866711858974696,3.040312488975053,7.6214262085267706,9877321.503427904,2.0,77.73850180809852,0.036872495490433185,0.579681664819967,0.0,21.57614934944981
56,east midlands,2020-12-11,35101.66566910983,39954358622534.125,2845617.0,0.7969562984630965,0.8969562984630964,0.9969562984630963,"(191.92858701645372, 41.341693910318924, 2.6813141434083714, 7.6214262085267706, 9877321.503427904, 2.0, 49.58559973849882, 0.036872495490433185, 0.6241145593380979, 0.0, 21.821954014425227)",191.92858701645372,41.341693910318924,2.6813141434083714,7.6214262085267706,9877321.503427904,2.0,49.58559973849882,0.036872495490433185,0.6241145593380979,0.0,21.821954014425227
60,east midlands,2020-12-18,43272.14829770672,49254384328990.12,2845617.0,0.9988221643118923,1.0988221643118923,1.1988221643118921,"(286.5089574598409, 36.68708649126007, 2.7814607342509583, 7.6214262085267706, 9877321.503427904, 2.0, 33.27781637500339, 0.036872495490433185, 0.6165541603104002, 0.0, 40.08690901363981)",286.5089574598409,36.68708649126007,2.7814607342509583,7.6214262085267706,9877321.503427904,2.0,33.27781637500339,0.036872495490433185,0.6165541603104002,0.0,40.08690901363981
63,east midlands,2020-12-23,40756.265595841374,46390688894416.54,2845617.0,0.9988707955202062,1.0998037284446043,1.200736661369002,"(251.1051627819204, 16.61887211103954, 1.9752146291550523, 7.6214262085267706, 9877321.503427904, 2.0, 50.69073186994214, 0.036872495490433185, 0.0, 0.0, 20.32492366916091)",251.1051627819204,16.61887211103954,1.9752146291550523,7.6214262085267706,9877321.503427904,2.0,50.69073186994214,0.036872495490433185,0.0,0.0,20.32492366916091
68,east midlands,2021-01-08,12610.839028032826,14354247168973.475,2845617.0,1.0991771200398452,1.2486556270955247,1.398134134151204,"(254.4653303659628, 54.39787469641909, 2.958242802881213, 7.6214262085267706, 9877321.503427904, 2.0, 5.096103571732659, 0.036872495490433185, 0.0, 0.0, 21.92136059889062)",254.4653303659628,54.39787469641909,2.958242802881213,7.6214262085267706,9877321.503427904,2.0,5.096103571732659,0.036872495490433185,0.0,0.0,21.92136059889062
72,east midlands,2021-01-15,13250.807587639913,15082689334046.852,2845617.0,1.1920356872519213,1.2933800601563963,1.394724433060872,"(341.26024338482654, 17.002847537107066, 3.0835875933714574, 7.6214262085267706, 9877321.503427904, 2.0, 42.01850320688341, 0.036872495490433185, 0.37588544066190216, 0.0, 21.600479626503965)",341.26024338482654,17.002847537107066,3.0835875933714574,7.6214262085267706,9877321.503427904,2.0,42.01850320688341,0.036872495490433185,0.37588544066190216,0.0,21.600479626503965
76,east midlands,2021-01-22,30246.135894410207,34427567394177.56,2845617.0,0.8901698214031254,1.0401698214031254,1.1901698214031255,"(147.05795614799882, 15.910257486786096, 1.991104325490608, 7.6214262085267706, 9877321.503427904, 2.0, 52.00778617974802, 0.036872495490433185, 0.759331280351502, 0.0, 22.2943416430719)",147.05795614799882,15.910257486786096,1.991104325490608,7.6214262085267706,9877321.503427904,2.0,52.00778617974802,0.036872495490433185,0.759331280351502,0.0,22.2943416430719
80,east midlands,2021-01-29,3100.5879377094334,3529234298216.362,2845617.0,0.7980855029428902,0.9471282544143351,1.09617100588578,"(138.31414136196122, 13.683097963912848, 1.727088599106986, 7.6214262085267706, 9877321.503427904, 2.0, 2.311915831038773, 0.036872495490433185, 0.0, 0.0, 21.498332874733315)",138.31414136196122,13.683097963912848,1.727088599106986,7.6214262085267706,9877321.503427904,2.0,2.311915831038773,0.036872495490433185,0.0,0.0,21.498332874733315
84,east midlands,2021-02-05,10053.995285506595,11443927960942.969,2845617.0,0.7040866874255449,0.8045224430097793,0.9049581985940135,"(156.45899149463895, 23.328897388510118, 1.9063312387571931, 7.6214262085267706, 9877321.503427904, 2.0, 17.89193536043696, 0.0, 0.38344583968959983, 0.0, 22.324496667447985)",156.45899149463895,23.328897388510118,1.9063312387571931,7.6214262085267706,9877321.503427904,2.0,17.89193536043696,0.0,0.38344583968959983,0.0,22.324496667447985
88,east of england,2020-09-04,6419.9610151370625,10818624640414.924,4212885.644829711,0.8000464921226508,0.9000464921226508,1.0000464921226506,"(266.7105923723866, 39.874041747688125, 4.020685578398089, 7.741164648376277, 109496601.38764685, 2.0, 4.353703291541022, 0.5473861932836643, 0.0, 0.0, 23.215500381887935)",266.7105923723866,39.874041747688125,4.020685578398089,7.741164648376277,109496601.38764685,2.0,4.353703291541022,0.5473861932836643,0.0,0.0,23.215500381887935
92,east of england,2020-09-11,6511.206822270513,10972387900824.29,4212885.644829711,0.9001210754483782,1.0500617139162265,1.2000023523840746,"(291.1655959542749, 45.27931198853712, 4.792753424502387, 7.741164648376277, 109496601.38764685, 2.0, 6.237161116177205, 0.6103325968551573, 0.0, 0.0, 23.553957353347204)",291.1655959542749,45.27931198853712,4.792753424502387,7.741164648376277,109496601.38764685,2.0,6.237161116177205,0.6103325968551573,0.0,0.0,23.553957353347204
96,east of england,2020-09-18,4492.688736239152,7570873553436.023,4212885.644829711,1.00016286280288,1.1501628628028802,1.30016286280288,"(306.5480246986719, 51.75834418965352, 5.117482223901449, 7.741164648376277, 109496601.38764685, 2.0, 8.448245179813172, 0.5401654893375857, 0.0, 0.0, 23.218070689692087)",306.5480246986719,51.75834418965352,5.117482223901449,7.741164648376277,109496601.38764685,2.0,8.448245179813172,0.5401654893375857,0.0,0.0,23.218070689692087
100,east of england,2020-09-25,9634.94897439894,16103444946275.174,4178393.9357291097,1.1000625406581503,1.2001219021903027,1.3001812637224544,"(245.83786436868692, 35.615116039629456, 3.9751319773673663, 7.743045464055555, 110301862.87582085, 2.0, 12.431198040955746, 0.6074772763632715, 0.0, 0.0, 23.789174497012645)",245.83786436868692,35.615116039629456,3.9751319773673663,7.743045464055555,110301862.87582085,2.0,12.431198040955746,0.6074772763632715,0.0,0.0,23.789174497012645
104,east of england,2020-10-02,7213.930460160905,12156585631364.666,4212885.644829711,1.0002093549255309,1.1502326009868562,1.3002558470481818,"(241.19054229021722, 29.607136986265527, 3.3435948776470656, 7.741164648376277, 109496601.38764685, 2.0, 23.567763079217546, 0.6103325968551573, 0.0, 0.0, 23.933177897197837)",241.19054229021722,29.607136986265527,3.3435948776470656,7.741164648376277,109496601.38764685,2.0,23.567763079217546,0.6103325968551573,0.0,0.0,23.933177897197837
108,east of england,2020-10-09,11101.61643489382,18707936205187.906,4212885.644829711,1.2998812769356962,1.4498439852728326,1.5998066936099689,"(186.2261610370518, 31.794702003030658, 3.2226050407706786, 7.733469117893127, 109496601.38764685, 2.0, 23.42769263908875, 0.6103325968551573, 0.0, 0.0, 23.934132234527105)",186.2261610370518,31.794702003030658,3.2226050407706786,7.733469117893127,109496601.38764685,2.0,23.42769263908875,0.6103325968551573,0.0,0.0,23.934132234527105
112,east of england,2020-10-16,8487.668360805674,14303030478125.418,4212885.644829711,1.2998628760161222,1.3999081919467355,1.4999535078773494,"(157.65575181544955, 28.764294060292283, 3.156268423622986, 7.741164648376277, 109496601.38764685, 2.0, 10.53789583298989, 0.6103325968551573, 0.07016710751757153, 0.0, 23.62355498787497)",157.65575181544955,28.764294060292283,3.156268423622986,7.741164648376277,109496601.38764685,2.0,10.53789583298989,0.6103325968551573,0.07016710751757153,0.0,23.62355498787497
116,east of england,2020-10-23,57200.35328896334,96391418900104.64,4212885.644829711,1.199909368138773,1.299923413740311,1.3999374593418497,"(202.12256476974804, 33.464990053418624, 3.5337175220935957, 7.741164648376277, 109496601.38764685, 2.0, 64.81311308186538, 0.6103325968551573, 0.869663362461117, 0.0, 23.621401661450115)",202.12256476974804,33.464990053418624,3.5337175220935957,7.741164648376277,109496601.38764685,2.0,64.81311308186538,0.6103325968551573,0.869663362461117,0.0,23.621401661450115
120,east of england,2020-10-30,55435.01701435086,93416554960259.8,4212885.644829711,1.1999535078773493,1.299953507877349,1.399953507877349,"(191.24473185079307, 30.228599395744414, 3.181574099963809, 7.741164648376277, 109496601.38764685, 2.0, 57.570196121167406, 0.6103325968551573, 0.9292247420531983, 0.0, 23.737034446920738)",191.24473185079307,30.228599395744414,3.181574099963809,7.741164648376277,109496601.38764685,2.0,57.570196121167406,0.6103325968551573,0.9292247420531983,0.0,23.737034446920738
124,east of england,2020-11-06,92132.33941413555,155257204056956.1,4212885.644829711,1.1000280912030767,1.2499687296709248,1.3999093681387729,"(309.31875380272567, 38.12615217937982, 4.011740965443428, 7.741164648376277, 109496601.38764685, 2.0, 188.84848146439222, 0.6103325968551573, 0.9967587887361978, 0.0211053503382309, 23.532220288277593)",309.31875380272567,38.12615217937982,4.011740965443428,7.741164648376277,109496601.38764685,2.0,188.84848146439222,0.6103325968551573,0.9967587887361978,0.0211053503382309,23.532220288277593
128,east of england,2020-11-13,59902.6981037112,100945286771077.14,4212885.644829711,1.0999815990804258,1.249922237548274,1.399862876016122,"(262.43629973072683, 40.31222548519811, 4.283090329198139, 7.741164648376277, 109496601.38764685, 2.0, 28.31516163367379, 0.6103325968551573, 0.8520532972865125, 0.0, 24.403160571136162)",262.43629973072683,40.31222548519811,4.283090329198139,7.741164648376277,109496601.38764685,2.0,28.31516163367379,0.6103325968551573,0.8520532972865125,0.0,24.403160571136162
132,east of england,2020-11-20,79747.41932705157,134386703238060.4,4212885.644829711,1.0000280912030766,1.1499687296709247,1.299909368138773,"(220.18804029022326, 38.29902480538193, 3.8156018843461093, 7.741164648376277, 109496601.38764685, 2.0, 203.51284776082213, 0.6103325968551573, 0.45005329986311854, 0.0, 23.112945625851314)",220.18804029022326,38.29902480538193,3.8156018843461093,7.741164648376277,109496601.38764685,2.0,203.51284776082213,0.6103325968551573,0.45005329986311854,0.0,23.112945625851314
136,east of england,2020-11-27,83799.04559367351,141214318492807.03,4212885.644829711,0.9000745833257274,1.0000513372644022,1.1000280912030767,"(288.77502410915366, 40.81473924237509, 4.1819278576843555, 7.741164648376277, 109496601.38764685, 2.0, 209.34526453027192, 0.2364392968232516, 0.8868930034665171, 0.0, 23.178288051610327)",288.77502410915366,40.81473924237509,4.1819278576843555,7.741164648376277,109496601.38764685,2.0,209.34526453027192,0.2364392968232516,0.8868930034665171,0.0,23.178288051610327
140,east of england,2020-12-04,27605.859705052117,46520132025838.805,4212885.644829711,0.8999558602614236,0.9499931519242872,1.000030443587151,"(154.97467181933496, 26.287444279577766, 3.063414424649572, 7.741164648376277, 109496601.38764685, 2.0, 31.261689519406566, 0.6103325968551573, 0.8862848530372869, 0.0, 22.99825325028358)",154.97467181933496,26.287444279577766,3.063414424649572,7.741164648376277,109496601.38764685,2.0,31.261689519406566,0.6103325968551573,0.8862848530372869,0.0,22.99825325028358
144,east of england,2020-12-11,69242.77403141344,115729434842367.61,4178393.9357291097,0.8999558602614236,0.9999558602614237,1.0999558602614237,"(161.97939769581023, 28.834058273205883, 3.1048364298840023, 7.743045464055555, 110301862.87582085, 2.0, 30.00092082623285, 0.6074772763632715, 0.9365339879199958, 0.0, 23.224572896072004)",161.97939769581023,28.834058273205883,3.1048364298840023,7.743045464055555,110301862.87582085,2.0,30.00092082623285,0.6074772763632715,0.9365339879199958,0.0,23.224572896072004
