,region,date,avg_r_lower,avg_r_avg,avg_r_upper
0,east midlands,2020-06-12,0.7939988155173453,0.8960664748342746,0.9981341341512041
1,east midlands,2020-06-19,0.7931273043488766,0.8935387443289539,0.9939501843090311
2,east midlands,2020-06-26,0.7,0.8004114399800774,0.9008228799601546
3,east midlands,2020-07-03,0.7972626229827354,0.8972869385868925,0.9973112541910494
4,east midlands,2020-07-10,0.700048631208314,0.8034606634297188,0.9068726956511235
5,east midlands,2020-07-17,0.7019144970571098,0.8488895892116254,0.9958646813661411
6,east midlands,2020-07-24,0.7060498156909687,0.8530249078454843,1.0
7,east midlands,2020-07-31,0.7008715111684687,0.802215884072944,0.9035602569774193
8,east midlands,2020-08-07,0.7981341341512042,0.8985455741312813,0.9989570141113587
9,east midlands,2020-08-14,0.8,0.9003871243759204,1.0007742487518405
10,east midlands,2020-08-21,0.8008228799601547,0.9008228799601546,1.0008228799601546
11,east midlands,2020-08-28,0.8008715111684688,0.9474351633429069,1.0939988155173452
12,east midlands,2020-09-04,0.8,0.9,1.0
13,east midlands,2020-09-11,0.9058297097624821,1.00676264268688,1.107695575611278
14,east midlands,2020-09-18,1.196219637094094,1.3441519777771647,1.4920843184602353
15,east midlands,2020-09-25,1.198036871734576,1.347103938810178,1.49617100588578
16,east midlands,2020-10-02,1.196219637094094,1.3482872964110235,1.500354955727953
17,east midlands,2020-10-09,1.2060011844826546,1.3534977695814907,1.5009943546803273
18,east midlands,2020-10-16,1.2068726956511233,1.3513686885086322,1.495864681366141
19,east midlands,2020-10-23,1.10191449705711,1.201938812661267,1.301963128265424
20,east midlands,2020-10-30,1.1942189214458316,1.2942189214458313,1.3942189214458316
21,east midlands,2020-11-06,1.0992257512481594,1.1976795848755504,1.2961334185029416
22,east midlands,2020-11-13,1.0942675526541459,1.1952004855785436,1.2961334185029416
23,east midlands,2020-11-20,0.9984028712880045,1.097268144895473,1.1961334185029415
24,east midlands,2020-11-27,0.8942675526541457,0.9942675526541457,1.0942675526541459
25,east midlands,2020-12-04,0.7969562984630965,0.8494597133642601,0.9019631282654239
26,east midlands,2020-12-11,0.7969562984630965,0.8969562984630964,0.9969562984630963
27,east midlands,2020-12-18,0.9988221643118923,1.0988221643118923,1.1988221643118921
28,east midlands,2020-12-23,0.9988707955202062,1.0998037284446043,1.200736661369002
29,east midlands,2021-01-08,1.0991771200398452,1.2486556270955247,1.398134134151204
30,east midlands,2021-01-15,1.1920356872519213,1.2933800601563963,1.394724433060872
31,east midlands,2021-01-22,0.8901698214031254,1.0401698214031254,1.1901698214031255
32,east midlands,2021-01-29,0.7980855029428902,0.9471282544143351,1.09617100588578
33,east midlands,2021-02-05,0.7040866874255449,0.8045224430097793,0.9049581985940135
34,east midlands,2021-02-12,0.7041353186338588,0.8020433437127725,0.899951368791686
35,east midlands,2021-02-19,0.6041353186338588,0.7531780701053039,0.902220821576749
36,east midlands,2021-02-26,0.6981341341512041,0.7981341341512042,0.8981341341512041
37,east midlands,2021-03-05,0.6980855029428901,0.8001531622598195,0.902220821576749
38,east midlands,2021-03-12,0.6041353186338588,0.7041353186338588,0.8041353186338589
39,east midlands,2021-03-19,0.6050068298023276,0.7525034149011637,0.9
40,east midlands,2021-03-26,0.7041353186338588,0.8520676593169293,1.0
41,east of england,2020-06-12,0.7001187230643038,0.8001187230643039,0.9001187230643037
42,east of england,2020-06-19,0.7000441397385763,0.8000673857999018,0.9000906318612271
43,east of england,2020-06-26,0.6999535078773492,0.7999767539386747,0.9
44,east of england,2020-07-03,0.7000906318612271,0.8001279235240909,0.9001652151869546
45,east of england,2020-07-10,0.7000280912030766,0.8499919757322502,0.9999558602614237
46,east of england,2020-07-17,0.7999558602614237,0.9000011761920372,1.0000464921226506
47,east of england,2020-07-24,0.7999558602614237,0.8999779301307118,1.0
48,east of england,2020-07-31,0.7000745833257274,0.8500152217935755,0.9999558602614237
49,east of england,2020-08-07,0.7001187230643038,0.8001419691256292,0.9001652151869546
50,east of england,2020-08-14,0.8000000000000002,0.8999859543984616,0.9999719087969233
51,east of england,2020-08-21,0.8000464921226508,0.9000464921226508,1.0000464921226506
52,east of england,2020-08-28,0.8000745833257275,0.9000966531950155,1.0001187230643038
53,east of england,2020-09-04,0.8000464921226508,0.9000464921226508,1.0000464921226506
54,east of england,2020-09-11,0.9001210754483782,1.0500617139162265,1.2000023523840746
55,east of england,2020-09-18,1.00016286280288,1.1501628628028802,1.30016286280288
56,east of england,2020-09-25,1.1000625406581503,1.2001219021903027,1.3001812637224544
57,east of england,2020-10-02,1.0002093549255309,1.1502326009868562,1.3002558470481818
58,east of england,2020-10-09,1.2998812769356962,1.4498439852728326,1.5998066936099689
59,east of england,2020-10-16,1.2998628760161222,1.3999081919467355,1.4999535078773494
60,east of england,2020-10-23,1.199909368138773,1.299923413740311,1.3999374593418497
61,east of england,2020-10-30,1.1999535078773493,1.299953507877349,1.399953507877349
62,east of england,2020-11-06,1.1000280912030767,1.2499687296709248,1.3999093681387729
63,east of england,2020-11-13,1.0999815990804258,1.249922237548274,1.399862876016122
64,east of england,2020-11-20,1.0000280912030766,1.1499687296709247,1.299909368138773
65,east of england,2020-11-27,0.9000745833257274,1.0000513372644022,1.1000280912030767
66,east of england,2020-12-04,0.8999558602614236,0.9499931519242872,1.000030443587151
67,east of england,2020-12-11,0.8999558602614236,0.9999558602614237,1.0999558602614237
68,east of england,2020-12-18,1.19983713719712,1.2998371371971198,1.3998371371971199
69,east of england,2020-12-23,1.1999117205228476,1.349875605052021,1.4998394895811944
