,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper,log_weighted_avg,log_suspended_solids,log_ammonia,log_ophosph,region,popn_mode,gc_per_day,log_gc_per_day,rna_7d_avg
0,2020-09-04,1573.1606864215673,182.8617040184834,30.436573143561652,3.60156657778103,7.434320079297973,4255141369.2814837,2.0,9.19050851068796,1.0,0.0,0.0,24.54256570972423,1194774.366606864,0.8,0.9,1.0,3.196773084773361,2.2621227624753875,1.4833957535972133,0.5564914474608037,North West,1194774.366606864,751828825076.059,11.876118972523695,1573.1606864215673
1,2020-09-05,2665.355267550809,172.4860832070578,30.26622508379873,3.2202033471354907,7.434320079297973,4255141369.2814837,2.0,8.052107897554002,0.9672770850357015,0.0,0.0,24.572606622465315,1194774.366606864,0.8377420710726936,0.9377420710726936,1.0377420710726937,3.425755104714818,2.236754060393645,1.4809582575106126,0.5078832970841684,North West,1194774.366606864,1273799260628.1145,12.105100992465152,2119.257976986188
2,2020-09-06,3757.5498486800507,162.1104623956322,30.095877024035808,2.838840116489951,7.434320079297973,4255141369.2814837,2.0,6.913707284420045,0.9345541700714031,0.0,0.0,24.602647535206405,1194774.366606864,0.8754841421453872,0.9754841421453873,1.0754841421453871,3.574904750766085,2.2098110445466226,1.4785070036219146,0.45314093374408265,North West,1194774.366606864,1795769696180.1702,12.25425063851642,2665.355267550809
3,2020-09-07,4372.97368167305,159.78848335607313,23.48525577981073,2.5118023326427203,7.434320079297973,4255141369.2814837,2.0,14.056088677132712,1.0,0.06122609310292865,0.0,24.034156458070363,1194774.366606864,0.9132262132180807,1.013226213218081,1.1132262132180808,3.640776863592613,2.2035454746328718,1.3707952944811783,0.3999854594201474,North West,1194774.366606864,2089886744283.7617,12.320122751342948,3092.259871081369
4,2020-09-08,6037.8262472525,193.5432637224044,31.365639235409667,3.35836551583494,7.434320079297973,4255141369.2814837,2.0,12.198219852908778,1.0,0.05704397851871413,0.0,23.951571361768636,1194774.366606864,0.9509682842907743,1.0509682842907744,1.1509682842907745,3.780880611014801,2.2867780602889223,1.4964541429360698,0.5261279618649666,North West,1194774.366606864,2885536012097.362,12.460226498765136,3681.3731463155955
5,2020-09-09,7702.6788128319495,227.29804408873565,39.246022691008605,4.2049286990271595,7.434320079297973,4255141369.2814837,2.0,10.340351028684847,1.0,0.05286186393449961,0.0,23.86898626546691,1194774.366606864,0.988710355363468,1.088710355363468,1.1887103553634681,3.8866417889785683,2.356595698614879,1.5937956506132234,0.6237586360717212,North West,1194774.366606864,3681185279910.961,12.565987676728904,4351.590757401655
6,2020-09-10,6129.230982386924,275.38671443374267,39.58214376913156,4.398301712340805,7.434320079297973,4255141369.2814837,2.0,7.815525182165057,1.0,0.026430931967249806,0.0,24.49806390197857,1194774.366606864,1.0264524264361614,1.1264524264361615,1.2264524264361616,3.787405988212257,2.4399429846235536,1.5974993118989687,0.6432850175464632,North West,1194774.366606864,2929219225907.4014,12.466751875962592,4605.539360970978
7,2020-09-11,4555.783151941897,323.4753847787496,39.91826484725451,4.59167472565445,7.434320079297973,4255141369.2814837,2.0,5.290699335645268,1.0,0.0,0.0,25.127141538490232,1194774.366606864,1.064194497508855,1.1641944975088552,1.2641944975088553,3.658563044169942,2.509841238137662,1.6011716552696351,0.661971115048266,North West,1194774.366606864,2177253171903.8406,12.337908931920277,5031.62828461674
8,2020-09-12,4815.464081226238,227.02571874021993,34.524859883017996,3.7479947086174104,7.434320079297973,4255141369.2814837,2.0,5.684509836867134,0.972518242006439,0.0,0.0,25.02113192425112,1194774.366606864,1.0835952835790186,1.1881878331722293,1.29278038276544,3.6826381477852674,2.3560750592823876,1.5381319246972847,0.5737989690834348,North West,1194774.366606864,2301357219026.0728,12.361984035535603,5338.786686570374
9,2020-09-13,5075.145010510579,130.5760527016902,29.131454918781476,2.9043146915803715,7.434320079297973,4255141369.2814837,2.0,6.078320338088999,0.945036484012878,0.0,0.0,24.915122310012006,1194774.366606864,1.1029960696491823,1.2121811688356035,1.3213662680220248,3.7054484557211795,2.1158635357971205,1.464362175235958,0.46304367174305006,North West,1194774.366606864,2425461266148.305,12.384794343471514,5527.014566831877
10,2020-09-14,14875.323811245378,273.3321449255796,37.93332322740536,4.2504359171873185,7.434320079297973,4255141369.2814837,2.0,17.496768758631994,0.9245556294817464,0.27732349241890425,0.0,23.025121208964638,1194774.366606864,1.1223968557193458,1.2361745044989776,1.3499521532786096,4.172466428377488,2.436690709419963,1.5790208916377377,0.6284334728081252,North West,1194774.366606864,7109062233861.079,12.851812316127823,7027.350299627923
11,2020-09-15,12135.905276077388,249.61666891189165,40.68457637200463,4.733340204887888,7.434320079297973,4255141369.2814837,2.0,19.600304046613463,0.9622778147408733,0.13866174620945212,0.0,30.17672340747371,1194774.366606864,1.1417976417895093,1.2601678401623517,1.3785380385351942,4.084072178009603,2.3972735833130234,1.609429798265549,0.6751677201442516,North West,1194774.366606864,5799867415770.504,12.763418065759938,7898.504446602908
12,2020-09-16,9396.486740909399,225.9011928982037,43.43582951660389,5.216244492588459,7.434320079297973,4255141369.2814837,2.0,21.70383933459493,1.0,0.0,0.0,37.32832560598278,1194774.366606864,1.1611984278596728,1.2841611758257259,1.407123923791779,3.972965505276276,2.35391852427025,1.6378481198755672,0.7173579391835171,North West,1194774.366606864,4490672597679.929,12.652311393026611,8140.477007756829
13,2020-09-17,10191.854456700665,262.71991549019367,40.135911869030096,4.851153488702895,7.434320079297973,4255141369.2814837,2.0,24.87335654537641,0.9672770850357015,0.20636741705484749,0.0,30.783274347145028,1194774.366606864,1.1805992139298365,1.3081545114891,1.4357098090483638,4.008253213156199,2.419492995738721,1.6035331343911339,0.6858450157602942,North West,1194774.366606864,4870786581221.553,12.687599100906533,8720.851789801649
