,region,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper
0,East Midlands,2020-09-04,4009.6573395935734,237.80266811995898,30.275990648497803,2.538065283478967,7.624220385006031,10136053.819813445,2.0,2.3972505475663435,0.07112252596302646,0.0,0.0,21.945967113838748,1475271.0,0.8,0.9,1.0
1,East Midlands,2020-09-06,47852.659122871846,258.13857250633953,36.22047881372304,3.533145572330929,7.624220385006031,10136053.819813445,2.0,3.593867633840064,0.07112252596302646,0.36251847965560224,0.0,22.20989168543723,1475271.0,,,
2,East Midlands,2020-09-07,2381.5818011502733,613.0379774292317,71.79238661913642,3.8256838720791437,7.624220385006031,10136053.819813445,2.0,5.0924650311728685,0.07112252596302646,0.0,0.0,21.82591134103497,1475271.0,,,
3,East Midlands,2020-09-09,15213.979400499544,243.08483738774086,33.36514868287579,2.803850610723131,7.694861154467539,8388626.4601928,2.0,32.64270569556674,0.11156798070727242,0.4198890327904064,0.0,22.36620988567981,940458.0,,,
4,East Midlands,2020-09-11,18863.084128310307,264.6199105113569,62.20818005640999,3.788181783539883,7.624220385006031,10136053.819813445,2.0,13.11562329055441,0.07112252596302646,0.19654897303614047,0.0,21.65269876969497,1475271.0,0.9058297097624821,1.00676264268688,1.107695575611278
5,East Midlands,2020-09-13,5607.2980217359955,292.2636315632857,37.747708048216225,3.811308296005274,7.624220385006031,10136053.819813445,2.0,18.711227837612977,0.07112252596302646,0.0,0.0,22.283035071748397,1475271.0,,,
6,East Midlands,2020-09-14,21629.414274545077,358.44642524854765,47.13000416262863,3.974173026787353,7.579751270212092,12849056.503445731,2.0,32.75914702399369,0.11285886537714813,0.3118884458551728,0.0,20.736293299315225,929701.0,,,
7,East Midlands,2020-09-16,23314.31996375988,297.6879231002304,50.067723828367804,3.844006414846716,7.624220385006031,10136053.819813445,2.0,22.218388652119025,0.07112252596302646,0.36981002134523083,0.0,27.79402809156193,1475271.0,,,
8,East Midlands,2020-09-18,7554.6822308093,348.1365186464046,36.75538528175501,3.7193040335224055,7.624220385006031,10136053.819813445,2.0,6.818198197361508,0.07112252596302646,0.0,0.0,21.922372386723072,1475271.0,1.196219637094094,1.3441519777771647,1.4920843184602353
9,East Midlands,2020-09-20,5021.392493801725,262.3840772305563,35.32441632757642,3.4659546543228843,7.624220385006031,10136053.819813445,2.0,16.490026740740568,0.07112252596302646,0.0,0.0,22.123084651339767,1475271.0,,,
10,East Midlands,2020-09-21,5691.587766613217,331.4789825055871,57.63674877361515,3.6700777839251897,7.624220385006031,10136053.819813445,2.0,11.568574229534477,0.07112252596302646,0.19654897303614047,0.0,21.509298754827647,1475271.0,,,
11,East Midlands,2020-09-23,8087.591521078147,278.74217502961255,53.01351884910926,6.248971497665327,7.6097595527305355,10015708.567570623,2.0,19.49616416494369,0.08852129573072991,0.0,0.0,21.50186469114638,1185308.0,,,
12,East Midlands,2020-09-25,10108.539025928203,235.14445142621253,34.927669560372294,3.4398929714057043,7.624220385006031,10136053.819813445,2.0,6.256504511662064,0.07112252596302646,0.36981002134523083,0.0,21.218452666210702,1475271.0,1.198036871734576,1.347103938810178,1.49617100588578
13,East Midlands,2020-09-27,19352.375160528765,259.5230910117531,38.03574326344109,3.4864721278406,7.624220385006031,10136053.819813445,2.0,16.12426588940273,0.07112252596302646,0.36981002134523083,0.0,22.191484773532,1475271.0,,,
14,East Midlands,2020-09-28,10857.070416881665,258.40942443795075,34.83379934940767,3.211847335387052,7.624220385006031,10136053.819813445,2.0,40.07308547578058,0.07112252596302646,0.36981002134523083,0.0,22.73765031419086,1475271.0,,,
15,East Midlands,2020-09-30,18624.762656641895,269.5576338177867,49.323047765461396,4.001497364223835,7.624220385006031,10136053.819813445,2.0,12.45233867482614,0.07112252596302646,0.5663589943813713,0.0,22.824938084821927,1475271.0,,,
16,East Midlands,2020-10-02,26266.92778183544,271.5192666296565,36.70940051014356,3.348648450332441,7.624220385006031,10136053.819813445,2.0,43.43648578360469,0.07112252596302646,0.36981002134523083,0.0,21.75200524739748,1475271.0,1.196219637094094,1.3482872964110235,1.500354955727953
17,East Midlands,2020-10-04,5386.766211509996,149.2701535224766,17.77913436685558,1.775279759580864,7.579751270212092,12849056.503445731,2.0,14.934401454222932,0.11285886537714813,0.0,0.0,22.266514359634623,929701.0,,,
18,East Midlands,2020-10-05,17882.07863883913,275.8494473218819,24.89660272587206,2.9734614684252554,7.659743044925547,10136053.819813445,2.0,23.63559079958577,0.07112252596302646,0.5663589943813713,0.0,21.86924761620068,1475271.0,,,
19,East Midlands,2020-10-07,14319.056537495351,325.18319007151905,30.965104038512248,3.316727885689451,7.659743044925547,10136053.819813445,2.0,19.289221102524355,0.07112252596302646,0.0,0.0,22.15529494806943,1475271.0,,,
