,date,weighted_avg_sars_cov2,gene_copies_per_day,weighted_average_r,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,101.37543161838964,69409081717.71666,0.9499474136124256,2.005932716285411,10.841416298723544,south west
1,2020-09-05,102.44733882646744,70142988284.73724,0.9642418616519561,2.0105006816440842,10.845984264082217,south west
2,2020-09-06,103.51924603454523,70876894851.75781,0.9785363096914867,2.0150211002234952,10.850504682661628,south west
3,2020-09-07,1631.5902421951014,1117106764848.592,0.9928307577310173,3.2126110993335253,12.048094681771659,south west
4,2020-09-08,1479.650800732309,1013077840480.2727,1.0071252057705478,3.1701592334969515,12.005642815935085,south west
5,2020-09-09,1327.711359269517,909048916111.9535,1.0214196538100784,3.1231036708893516,11.958587253327485,south west
6,2020-09-10,712.457363333549,487800747800.0889,1.0357141018496088,2.8527588793149032,11.688242461753036,south west
7,2020-09-11,97.20336739758092,66552579488.224365,1.0500085498891394,1.987681310367179,10.823164892805313,south west
8,2020-09-12,434.4825161498052,297478708469.3453,1.0785850479761816,2.6379723048527257,11.473455887290859,south west
9,2020-09-13,771.7616649020295,528404837450.4662,1.1071615460632238,2.8874832024097827,11.722966784847916,south west
10,2020-09-14,4314.1811448341805,2953805935485.7397,1.135738044150266,3.6348983764063676,12.4703819588445,south west
11,2020-09-15,3128.7236316990166,2142154472320.4397,1.1643145422373085,3.4953672024785662,12.3308507849167,south west
12,2020-09-16,1943.2661185638522,1330503009155.1396,1.1928910403243507,3.2885322786800106,12.124015861118144,south west
13,2020-09-17,1548.9081636920907,1060496528504.4531,1.2214675384113929,3.1900256687701027,12.025509251208236,south west
14,2020-09-18,1154.5502088203293,790490047853.7666,1.250044036498435,3.0624128241648196,11.897896406602953,south west
15,2020-09-19,967.0143209724212,662089176391.743,1.250035302744619,2.985432905803006,11.820916488241139,south west
16,2020-09-20,779.478433124513,533688304929.71954,1.2500265689908026,2.8918041034830506,11.727287685921183,south west
17,2020-09-21,837.6383232894538,573508846304.5542,1.2500178352369864,2.9230565387906484,11.758540121228782,south west
18,2020-09-22,1080.8145162314297,740005165760.4314,1.25000910148317,3.033751168986653,11.869234751424786,south west
19,2020-09-23,1323.9907091734055,906501485216.3086,1.2500003677293539,3.1218849375441047,11.957368519982237,south west
20,2020-09-24,1597.156342328691,1093530782665.0172,1.2499916339755375,3.2033474304073013,12.038831012845435,south west
21,2020-09-25,1870.3219754839763,1280560080113.7258,1.2499829002217213,3.2719163766644512,12.107399959102585,south west
22,2020-09-26,2295.9564411471674,1571980762003.4192,1.2499916339755375,3.360963644375382,12.196447226813515,south west
23,2020-09-27,2721.5909068103583,1863401443893.1125,1.2500003677293539,3.4348228452364973,12.270306427674631,south west
24,2020-09-28,2966.0202460339924,2030755759524.9795,1.25000910148317,3.472174111193656,12.30765769363179,south west
25,2020-09-29,2053.670834406475,1406094203408.0852,1.2500178352369864,3.3125308354361382,12.148014417874272,south west
26,2020-09-30,1141.3214227789574,781432647291.1908,1.2500265689908026,3.0574079691169085,11.892891551555042,south west
27,2020-10-01,739.2675641803344,506156984530.5806,1.250035302744619,2.8688016516776695,11.704285234115803,south west
28,2020-10-02,337.2137055817114,230881321769.97043,1.250044036498435,2.5279052176061634,11.363388800044296,south west
29,2020-10-03,688.3557633761341,471299018591.4857,1.2785897825824435,2.8378129529702485,11.673296535408381,south west
