,date,weighted_avg_sars_cov2,gene_copies_per_day,weighted_average_r,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,4059.005489664428,4620150009792.968,0.9,3.608419638685937,12.664656076717959,east midlands
1,2020-09-05,26707.784767756522,30400050546987.605,0.9152524735302618,4.426637867690533,13.482874305722554,east midlands
2,2020-09-06,49356.564045848616,56179951084182.24,0.9305049470605236,4.693344918694005,13.749581356726026,east midlands
3,2020-09-07,2122.9185001700084,2416405189479.3115,0.9457574205907854,3.3269333217185912,12.383169759750613,east midlands
4,2020-09-08,8551.943449045744,6529415603938.248,0.9610098941210472,3.9320648203755835,12.814874312769357,east midlands
5,2020-09-09,14980.968397921479,10642426018397.186,0.976262367651309,4.175539887881477,13.027040639829814,east midlands
6,2020-09-10,17210.097166003943,16384531366174.027,0.9915148411815707,4.235783322305493,13.214434024113558,east midlands
7,2020-09-11,19439.22593408641,22126636713950.87,1.0067673147118326,4.288678967419064,13.344915405451085,east midlands
8,2020-09-12,12602.468007090027,14344718881172.602,1.054964917153474,4.100455603601805,13.156692041633827,east midlands
9,2020-09-13,5765.710080093641,6562801048394.331,1.1031625195951156,3.760852800767922,12.817089238799943,east midlands
10,2020-09-14,22912.615721384904,16079862917203.29,1.151360122036757,4.360074671403202,13.206282342014674,east midlands
11,2020-09-15,23378.18121127646,21609965649909.168,1.1995577244783986,4.3688107206568,13.334654076551601,east midlands
12,2020-09-16,23843.746701168013,27140068382615.047,1.24775532692004,4.3773744995494335,13.433610937581454,east midlands
13,2020-09-17,15668.299509379358,17834391777992.625,1.2959529293616816,4.195021864766784,13.251258302798805,east midlands
14,2020-09-18,7492.852317590704,8528715173370.203,1.3441505318033231,3.874647172837325,12.930883610869346,east midlands
15,2020-09-19,6297.198732129038,7167766305809.936,1.3445726710691719,3.7991473993374942,12.855383837369516,east midlands
16,2020-09-20,5101.545146667372,5806817438249.667,1.3449948103350204,3.7077017343407035,12.763938172372725,east midlands
17,2020-09-21,5723.144429442007,6514350832750.19,1.3454169496008692,3.7576347059150668,12.813871143947088,east midlands
18,2020-09-22,6740.783553317854,6772813103157.83,1.3458390888667178,3.8287103821589867,12.830769091347221,east midlands
19,2020-09-23,7758.422677193701,7031275373565.47,1.3462612281325665,3.8897734361782463,12.847034107020553,east midlands
20,2020-09-24,9013.247252899193,9359437637322.45,1.346683367398415,3.95488128486842,12.971249754897842,east midlands
21,2020-09-25,10268.071828604683,11687599901079.428,1.3471055066642639,4.011488898045524,13.067725336077546,east midlands
22,2020-09-26,15094.294984460426,17181032964318.129,1.3472750241017486,4.178812833059089,13.23504927109111,east midlands
23,2020-09-27,19920.51814031617,22674466027556.83,1.3474445415392333,4.299300630400614,13.355537068432636,east midlands
24,2020-09-28,11050.691814766464,12578414595944.121,1.347614058976718,4.043389467336124,13.099625905368145,east midlands
25,2020-09-29,15084.903442185427,17170343071376.549,1.3477835764142028,4.178542534619707,13.234778972651728,east midlands
26,2020-09-30,19119.11506960439,21762271546808.977,1.3479530938516875,4.2814677870362265,13.337704225068247,east midlands
