,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay,log_weighted_avg,log_gc_per_day,region
29,2020-10-03,15293.627762980213,703451820037.143,114991.0,1.2142857142857142,1.4,1.5857142857142859,208.25306079854698,26.371906124330227,3.4727746404066195,7.505392963499131,17633769.37934273,2.0,16.61277140908539,1.0,0.42049502010716366,0.0,26.17910985580238,4.184510515534421,11.847234357622149,north east
30,2020-10-04,14362.498219567462,660623213106.5128,114991.0,1.2285714285714284,1.4,1.5714285714285714,186.31767206626108,24.19669986595224,3.1946070340576727,7.512670420509395,17633769.37934273,2.0,16.532098107818044,1.0,0.35041251675596974,0.0,26.183690835431843,4.15722998785947,11.819953829947197,north east
31,2020-10-05,13431.368676154712,617794606175.8826,114991.0,1.2428571428571427,1.4,1.5571428571428572,164.3822833339752,22.021493607574257,2.9164394277087253,7.51994787751966,17633769.37934273,2.0,16.451424806550698,1.0,0.28033001340477576,0.0,26.188271815061306,4.128120270167965,11.790844112255693,north east
32,2020-10-06,12500.239132741963,574965999245.2523,114991.0,1.2571428571428571,1.4,1.5428571428571427,142.44689460168934,19.846287349196274,2.638271821359778,7.527225334529924,17633769.37934273,2.0,16.37075150528335,1.0,0.21024751005358183,0.0,26.192852794690765,4.096918321251008,11.759642163338736,north east
33,2020-10-07,11569.109589329211,532137392314.62213,114991.0,1.2714285714285714,1.4,1.5285714285714285,120.51150586940344,17.671081090818287,2.3601042150108307,7.534502791540189,17633769.37934273,2.0,16.290078204016005,1.0,0.1401650067023879,0.0,26.197433774320228,4.06329993498272,11.726023777070449,north east
34,2020-10-08,10637.980045916462,489308785383.99194,114991.0,1.2857142857142856,1.4,1.514285714285714,98.57611713711756,15.495874832440304,2.0819366086618833,7.541780248550453,17633769.37934273,2.0,16.20940490274866,1.0,0.07008250335119393,0.0,26.20201475394969,4.026859171361841,11.68958301344957,north east
35,2020-10-09,9706.850502503712,446480178453.3617,114991.0,1.2999999999999998,1.4,1.4999999999999998,76.64072840483168,13.320668574062317,1.8037690023129365,7.549057705560718,17633769.37934273,2.0,16.128731601481313,1.0,0.0,0.0,26.206595733579153,3.98707834100378,11.649802183091508,north east
36,2020-10-10,9212.067468357864,423721940101.5756,114991.0,1.2999999999999998,1.3928571428571428,1.4857142857142855,82.1071636662248,13.28024305007721,1.840156322065911,7.541780248550453,17633769.37934273,2.0,16.92802210926128,1.0,0.0,0.0,26.19262555123362,3.964357110037767,11.627080952125494,north east
37,2020-10-11,8717.284434212015,400963701749.78955,114991.0,1.2999999999999998,1.3857142857142857,1.4714285714285713,87.57359892761794,13.239817526092104,1.8765436418188854,7.534502791540189,17633769.37934273,2.0,17.727312617041246,1.0,0.0,0.0,26.178655368888084,3.940381216708785,11.603105058796514,north east
38,2020-10-12,8222.501400066169,378205463398.0035,114991.0,1.2999999999999998,1.3785714285714286,1.457142857142857,93.04003418901107,13.199392002106997,1.9129309615718597,7.527225334529924,17633769.37934273,2.0,18.526603124821214,1.0,0.0,0.0,26.16468518654255,3.9150039561031216,11.57772779819085,north east
39,2020-10-13,7727.71836592032,355447225046.2174,114991.0,1.2999999999999998,1.3714285714285714,1.4428571428571426,98.50646945040418,13.15896647812189,1.9493182813248342,7.51994787751966,17633769.37934273,2.0,19.325893632601183,1.0,0.0,0.0,26.150715004197018,3.8880512859804823,11.55077512806821,north east
40,2020-10-14,7232.935331774472,332688986694.4313,114991.0,1.2999999999999998,1.3642857142857143,1.4285714285714284,103.97290471179733,13.118540954136783,1.9857056010778087,7.512670420509395,17633769.37934273,2.0,20.12518414038115,1.0,0.0,0.0,26.136744821851483,3.8593145821745316,11.52203842426226,north east
41,2020-10-15,6738.152297628623,309930748342.6452,114991.0,1.2999999999999998,1.3571428571428572,1.4142857142857141,109.43933997319044,13.078115430151676,2.022092920830783,7.505392963499131,17633769.37934273,2.0,20.924474648161116,1.0,0.0,0.0,26.12277463950595,3.8285408228030464,11.491264664890775,north east
42,2020-10-16,6243.369263482776,287172509990.85913,114991.0,1.2999999999999998,1.35,1.4,114.90577523458357,13.03768990616657,2.0584802405837577,7.498115506488866,17633769.37934273,2.0,21.723765155941084,1.0,0.0,0.0,26.108804457160414,3.7954190219968567,11.458142864084584,north east
43,2020-10-17,7598.654078027892,349510732434.6021,114991.0,1.2714285714285714,1.3285714285714287,1.3857142857142857,123.53104652910724,14.905601307928446,2.2652192755041334,7.498115506488866,17633769.37934273,2.0,20.505362603283658,1.0,0.07008250335119394,0.0,26.146989433127477,3.8807366740899982,11.543460516177726,north east
44,2020-10-18,8953.938892573009,411848954878.34515,114991.0,1.2428571428571427,1.3071428571428572,1.3714285714285712,132.1563178236309,16.773512709690323,2.471958310424509,7.498115506488866,17633769.37934273,2.0,19.28696005062623,1.0,0.14016500670238788,0.0,26.18517440909454,3.9520141261532,11.614737968240927,north east
45,2020-10-19,10309.223707118126,474187177322.08813,114991.0,1.2142857142857142,1.2857142857142858,1.357142857142857,140.78158911815459,18.641424111452203,2.678697345344885,7.498115506488866,17633769.37934273,2.0,18.068557497968804,1.0,0.21024751005358183,0.0,26.223359385061602,4.013225963789039,11.675949805876767,north east
46,2020-10-20,11664.508521663243,536525399765.8312,114991.0,1.1857142857142855,1.2642857142857145,1.3428571428571427,149.40686041267827,20.509335513214076,2.8854363802652605,7.498115506488866,17633769.37934273,2.0,16.850154945311374,1.0,0.28033001340477576,0.0,26.26154436102867,4.0668664447306035,11.72959028681833,north east
