,date,weighted_avg_sars_cov2,gene_copies_per_day,weighted_average_r,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,6419.9610151370625,10818624640414.924,0.9000466983049469,3.8075323908473178,13.034172052910609,east of england
1,2020-09-05,6735.192835011101,11349838883911.277,0.9214774723648121,3.8283500345033024,13.054989696566594,east of england
2,2020-09-06,7050.42465488514,11881053127407.629,0.9429082464246774,3.84821527581681,13.074854937880101,east of england
3,2020-09-07,5260.670103670064,8865040624774.576,0.9643390204845428,3.7210410680682307,12.947680730131522,east of england
4,2020-09-08,9270.769318323586,15622676391077.266,0.985769794544408,3.9671157747960164,13.193755436859307,east of england
5,2020-09-09,13280.868532977109,22380312157379.953,1.0072005686042733,4.123226477648349,13.349866139711642,east of england
6,2020-09-10,9896.037677623812,16676350029102.121,1.0286313426641387,3.9954613401328833,13.222101002196174,east of england
7,2020-09-11,6511.206822270513,10972387900824.29,1.0500621167240038,3.8136614905157264,13.040301152579017,east of england
8,2020-09-12,8813.510774931281,14852125209703.992,1.0643622781183542,3.9451489397926283,13.17178860185592,east of england
9,2020-09-13,11115.814727592051,18731862518583.695,1.0786624395127047,4.045941299579338,13.27258096164263,east of england
10,2020-09-14,27541.27513089925,46411297055708.38,1.092962600907055,4.4399840437456435,13.666623705808934,east of england
11,2020-09-15,41322.391099873814,69634603309878.95,1.1072627623014055,4.6161854438116645,13.842825105874956,east of england
12,2020-09-16,55103.50706884838,92857909564049.53,1.1215629236957558,4.741179240452121,13.967818902515413,east of england
13,2020-09-17,29798.097902543766,50214391558742.78,1.1358630850901064,4.474188542707331,13.700828204770623,east of england
14,2020-09-18,4492.688736239152,7570873553436.023,1.1501632464844567,3.6525063307193464,12.879145992782638,east of england
15,2020-09-19,3270.1573962942666,5510719660472.729,1.1573002276637654,3.514568656237354,12.741208318300645,east of england
16,2020-09-20,2047.626056349382,3450565767509.4336,1.1644372088430743,3.3112506473759393,12.53789030943923,east of england
