,date,weighted_avg_sars_cov2,gene_copies_per_day,weighted_average_r,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,2095.335069814648,2686374309929.631,0.9001420598530553,3.321253481877874,12.429166525611592,south east
1,2020-09-05,3698.528999288394,4741787330986.155,0.9285356885687208,3.568029028251271,12.67594207198499,south east
2,2020-09-06,5301.72292876214,6797200352042.68,0.9569293172843862,3.724417027498562,12.83233007123228,south east
3,2020-09-07,2267.777008198084,2907457610591.7583,0.9853229460000518,3.355600347897106,12.463513391630825,south east
4,2020-09-08,6012.946183485365,7709041091806.568,1.0137165747157173,3.779087316880601,12.88700036061432,south east
5,2020-09-09,9758.115358772644,12510624573021.377,1.0421102034313827,3.989365947961763,13.09727899169548,south east
6,2020-09-10,5872.4957464705385,7528973258623.021,1.0705038321470484,3.7688227108842893,12.876735754618007,south east
7,2020-09-11,1986.8761341684324,2547321944224.666,1.0988974608627138,3.2981707931672224,12.40608383690094,south east
8,2020-09-12,2144.440403523939,2749330974406.6064,1.1202122946371278,3.331313981197455,12.439227024931174,south east
9,2020-09-13,2302.0046728794455,2951340004588.5474,1.1415271284115416,3.362106200876613,12.47001924461033,south east
10,2020-09-14,3142.959436745745,4001089242031.4277,1.1628419621859556,3.4973387760187986,12.60217823817969,south east
11,2020-09-15,3864.5858829489653,4940476080762.344,1.1841567959603694,3.58710296309631,12.693768801005772,south east
12,2020-09-16,4586.212329152186,5879862919493.26,1.2054716297347834,3.6614541575122135,12.769367201245933,south east
13,2020-09-17,5277.0726788786205,6765596911154.206,1.2267864635091974,3.7223930755715857,12.830306119305304,south east
14,2020-09-18,5967.933028605055,7651330902815.152,1.2481012972836112,3.775823940893824,12.883736984627543,south east
15,2020-09-19,4444.747090183444,5698494035256.859,1.2342789470001494,3.6478470542910224,12.75576009802474,south east
16,2020-09-20,2921.5611517618327,3745657167698.5664,1.2204565967166874,3.465614981043266,12.573528024776984,south east
17,2020-09-21,2184.791513084994,2801064076984.5938,1.2066342464332256,3.3394100000996767,12.447323043833395,south east
18,2020-09-22,4635.023614630257,5942442592420.956,1.1928118961497638,3.666051951140168,12.773964994873886,south east
19,2020-09-23,7085.255716175519,9083821107857.318,1.178989545866302,3.850355529124038,12.958268572857756,south east
20,2020-09-24,4848.201205574748,5283216184645.787,1.16516719558284,3.6855806352212626,12.72289838200585,south east
21,2020-09-25,2611.1466949739765,1482611261434.2566,1.1513448452993782,3.4168312712975126,12.171027294558272,south east
22,2020-09-26,2822.940094929755,2672962685666.452,1.1651731630773052,3.4507016621648123,12.426992896084533,south east
23,2020-09-27,3034.733494885533,3863314109898.648,1.179001480855232,3.4821205580858785,12.586960020246769,south east
24,2020-09-28,4635.766293793369,5943394761958.442,1.192829798633159,3.6661215334446404,12.774034577178359,south east
25,2020-09-29,3092.0593263554574,3964248419625.9854,1.206658116411086,3.490247817995845,12.598160861729562,south east
