,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,356.9918474413606,305067731452.262,2136377.438579829,0.8,0.9,1.0,162.17709407608345,18.444987672059437,1.66728762083102,7.403649479853563,6175356.686293889,2.0,2.075336945598821,1.0,0.0,0.0,24.155949849813638,2.5526582983204333,11.484396272560913,yorkshire and the humber
1,2020-09-05,414.7409346628852,354417270267.71954,2136377.438579829,0.8286956184492871,0.928695618449287,1.028695618449287,177.28118180621166,20.538624308475466,2.0180787036132215,7.396276736896811,277377041.2439085,2.0,2.1516504463243007,1.0,0.0,0.0,24.29933003205795,2.617776902064903,11.549514876305382,yorkshire and the humber
2,2020-09-06,472.49002188440977,403766809083.17706,2136377.438579829,0.857391236898574,0.9573912368985741,1.057391236898574,192.38526953633988,22.6322609448915,2.3688697863954236,7.38890399394006,548578725.8015231,2.0,2.2279639470497803,1.0,0.0,0.0,24.44271021430226,2.6743926414457104,11.60613061568619,yorkshire and the humber
3,2020-09-07,530.2391091059344,453116347898.63464,2136377.438579829,0.886086855347861,0.986086855347861,1.086086855347861,207.48935726646812,24.725897581307528,2.719660869177625,7.381531250983309,819780410.3591378,2.0,2.3042774477752594,1.0,0.0,0.0,24.58609039654657,2.7244717570494763,11.656209731289955,yorkshire and the humber
4,2020-09-08,587.9881963274589,502465886714.09216,2136377.438579829,0.914782473797148,1.014782473797148,1.114782473797148,222.5934449965963,26.819534217723557,3.070451951959827,7.374158508026556,1090982094.9167523,2.0,2.380590948500739,1.0,0.0,0.0,24.729470578790878,2.7693686078426274,11.701106582083106,yorkshire and the humber
5,2020-09-09,645.7372835489836,551815425529.5497,2136377.438579829,0.943478092246435,1.043478092246435,1.143478092246435,237.69753272672455,28.91317085413959,3.421243034742029,7.366785765069805,1362183779.474367,2.0,2.4569044492262186,1.0,0.0,0.0,24.87285076103519,2.8100558624041865,11.741793836644666,yorkshire and the humber
6,2020-09-10,703.4863707705081,601164964345.0072,2136377.438579829,0.972173710695722,1.072173710695722,1.172173710695722,252.80162045685276,31.00680749055562,3.7720341175242305,7.359413022113054,1633385464.0319817,2.0,2.5332179499516982,1.0,0.0,0.0,25.0162309432795,2.847255687902252,11.778993662142732,yorkshire and the humber
7,2020-09-11,761.2354579920327,650514503160.4647,2136377.438579829,1.000869329145009,1.1008693291450091,1.200869329145009,267.905708186981,33.10044412697165,4.1228252003064325,7.352040279156302,1904587148.589596,2.0,2.609531450677178,1.0,0.0,0.0,25.15961112552381,2.881519009320224,11.813256983560704,yorkshire and the humber
8,2020-09-12,2113.2338759142185,1805866069978.2969,2136377.438579829,1.0293165678385792,1.129390916552114,1.229465265265649,297.9298683906431,33.82289118371963,4.277733673199637,7.359413022113054,1633385464.0319815,2.0,4.096321521294078,0.9555061233239276,0.03804432009220082,0.0,25.438314220678926,3.324947563970558,12.256685538211038,yorkshire and the humber
9,2020-09-13,3465.232293836405,2961217636796.1294,2136377.438579829,1.0577638065321493,1.157912503959219,1.2580612013862889,327.95402859430527,34.54533824046761,4.432642146092842,7.366785765069805,1362183779.4743667,2.0,5.583111591910977,0.9110122466478553,0.07608864018440165,0.0,25.717017315834042,3.539732353103626,12.471470327344106,yorkshire and the humber
10,2020-09-14,4817.230711758591,4116569203613.962,2136377.438579829,1.0862110452257194,1.186434091366324,1.286657137506929,357.9781887979674,35.26778529721559,4.587550618986047,7.374158508026556,1090982094.916752,2.0,7.069901662527876,0.8665183699717829,0.11413296027660247,0.0,25.995720410989158,3.6827974464897015,12.614535420730181,yorkshire and the humber
11,2020-09-15,6169.229129680777,5271920770431.794,2136377.438579829,1.1146582839192893,1.2149556787734292,1.315253073627569,388.00234900162957,35.99023235396356,4.742459091879251,7.381531250983309,819780410.3591375,2.0,8.556691733144776,0.8220244932957105,0.1521772803688033,0.0,26.274423506144277,3.790230900558138,12.721968874798618,yorkshire and the humber
12,2020-09-16,7521.227547602964,6427272337249.626,2136377.438579829,1.1431055226128595,1.2434772661805342,1.343849009748209,418.0265092052917,36.712679410711544,4.8973675647724555,7.38890399394006,548578725.801523,2.0,10.043481803761676,0.7775306166196381,0.19022160046100411,0.0,26.553126601299393,3.876288728044111,12.80802670228459,yorkshire and the humber
13,2020-09-17,8873.22596552515,7582623904067.459,2136377.438579829,1.1715527613064296,1.2719988535876392,1.3724449458688488,448.0506694089538,37.435126467459526,5.052276037665661,7.396276736896811,277377041.24390817,2.0,11.530271874378574,0.7330367399435658,0.22826592055320494,0.0,26.83182969645451,3.948081541400729,12.87981951564121,yorkshire and the humber
14,2020-09-18,10225.224383447334,8737975470885.291,2136377.438579829,1.1999999999999997,1.3005204409947442,1.4010408819894888,478.074829612616,38.1575735242075,5.207184510558865,7.403649479853563,6175356.686293889,2.0,13.017061944995474,0.6885428632674934,0.26631024064540576,0.0,27.110532791609625,4.009672846989774,12.941410821230255,yorkshire and the humber
15,2020-09-19,9300.963552508085,7948147476252.628,2136377.438579829,1.1999999999999997,1.3075889494240664,1.4151778988481334,444.2992916630569,35.107205850491084,4.772935592801418,7.403649479853563,6175356.686293889,2.0,11.98005718865132,0.7330367399435658,0.22826592055320494,0.0,26.734775099051216,3.9685279425174445,12.900265916757924,yorkshire and the humber
16,2020-09-20,8376.702721568836,7158319481619.965,2136377.438579829,1.1999999999999997,1.3146574578533887,1.4293149157067777,410.5237537134978,32.05683817677467,4.338686675043971,7.403649479853563,6175356.686293889,2.0,10.943052432307168,0.7775306166196381,0.19022160046100411,0.0,26.35901740649281,3.9230731031619737,12.854811077402454,yorkshire and the humber
17,2020-09-21,7452.441890629586,6368491486987.301,2136377.438579829,1.1999999999999997,1.321725966282711,1.4434519325654223,376.7482157639387,29.006470503058253,3.904437757286524,7.403649479853563,6175356.686293889,2.0,9.906047675963014,0.8220244932957105,0.1521772803688033,0.0,25.9832597139344,3.8722985983675593,12.80403657260804,yorkshire and the humber
18,2020-09-22,6528.181059690337,5578663492354.639,2136377.438579829,1.1999999999999997,1.3287944747120333,1.4575889494240668,342.9726778143796,25.956102829341837,3.4701888395290768,7.403649479853563,6175356.686293889,2.0,8.869042919618861,0.8665183699717829,0.11413296027660247,0.0,25.607502021375996,3.814792191109461,12.74653016534994,yorkshire and the humber
19,2020-09-23,5603.920228751088,4788835497721.975,2136377.438579829,1.1999999999999997,1.3358629831413555,1.4717259662827114,309.19713986482054,22.905735155625422,3.0359399217716296,7.403649479853563,6175356.686293889,2.0,7.832038163274708,0.9110122466478552,0.07608864018440165,0.0,25.231744328817587,3.7484919445188414,12.680229918759322,yorkshire and the humber
20,2020-09-24,4679.659397811838,3999007503089.3115,2136377.438579829,1.1999999999999997,1.3429314915706778,1.4858629831413557,275.4216019152614,19.855367481909006,2.6016910040141825,7.403649479853563,6175356.686293889,2.0,6.795033406930555,0.9555061233239276,0.03804432009220082,0.0,24.855986636259182,3.6702142447335593,12.60195221897404,yorkshire and the humber
21,2020-09-25,3755.3985668725886,3209179508456.6484,2136377.438579829,1.1999999999999997,1.35,1.5000000000000002,241.64606396570233,16.80499980819259,2.1674420862567354,7.403649479853563,6175356.686293889,2.0,5.758028650586402,1.0,0.0,0.0,24.480228943700773,3.5746560362024122,12.506394010442891,yorkshire and the humber
22,2020-09-26,3668.222336671463,3134682975903.798,2136377.438579829,1.1999999999999997,1.3570685084293224,1.5141370168586448,240.218746003257,17.872591221428447,2.1716061126564177,7.403649479853563,6175356.686293889,2.0,5.856010155952472,0.9555061233239276,0.0,0.0,24.48972041853898,3.5644556510610066,12.496193625301487,yorkshire and the humber
23,2020-09-27,3581.0461064703372,3060186443350.9473,2136377.438579829,1.1999999999999997,1.3641370168586446,1.528274033717289,238.79142804081167,18.940182634664303,2.1757701390561,7.403649479853563,6175356.686293889,2.0,5.9539916613185415,0.9110122466478553,0.0,0.0,24.499211893377186,3.5540099126502,12.48574788689068,yorkshire and the humber
24,2020-09-28,3493.8698762692115,2985689910798.0967,2136377.438579829,1.1999999999999997,1.371205525287967,1.5424110505759336,237.36411007836634,20.00777404790016,2.1799341654557822,7.403649479853563,6175356.686293889,2.0,6.051973166684611,0.8665183699717829,0.0,0.0,24.508703368215393,3.5433067263279128,12.475044700568393,yorkshire and the humber
25,2020-09-29,3406.693646068086,2911193378245.246,2136377.438579829,1.1999999999999997,1.378274033717289,1.556548067434578,235.93679211592104,21.075365461136016,2.184098191855464,7.403649479853563,6175356.686293889,2.0,6.14995467205068,0.8220244932957105,0.0,0.0,24.518194843053603,3.5323330804994124,12.464071054739891,yorkshire and the humber
26,2020-09-30,3319.51741586696,2836696845692.3955,2136377.438579829,1.1999999999999997,1.3853425421466112,1.5706850842932225,234.5094741534757,22.142956874371876,2.1882622182551463,7.403649479853563,6175356.686293889,2.0,6.24793617741675,0.7775306166196381,0.0,0.0,24.52768631789181,3.52107495151738,12.45281292575786,yorkshire and the humber
27,2020-10-01,3232.3411856658345,2762200313139.545,2136377.438579829,1.1999999999999997,1.3924110505759335,1.5848221011518668,233.08215619103038,23.210548287607732,2.1924262446548286,7.403649479853563,6175356.686293889,2.0,6.34591768278282,0.7330367399435658,0.0,0.0,24.537177792730017,3.5095171959241718,12.441255170164652,yorkshire and the humber
