,date,weighted_avg_sars_cov2,gene_copies_per_day,weighted_average_r,log_weighted_avg,log_gc_per_day,region
0,2020-09-04,2186.8173005292915,2026456449741.6692,0.9000000000000001,3.3398125010594155,12.306737274823277,north west
1,2020-09-05,3221.5061303754683,2985270819927.0312,0.9377443726076962,3.5080589621252347,12.474983735889097,north west
2,2020-09-06,4256.1949602216455,3944085190112.393,0.9754887452153923,3.629021513133141,12.595946286897004,north west
3,2020-09-07,3472.6386150505537,3217987582862.052,1.0132331178230882,3.54065959020521,12.507584363969071,north west
4,2020-09-08,6134.717237944562,5684854107915.284,1.0509774904307845,3.787794549975749,12.75471932373961,north west
5,2020-09-09,8796.79586083857,8151720632968.517,1.0887218630384805,3.9443245138145895,12.911249287578451,north west
6,2020-09-10,7452.33450689651,6905849575763.657,1.1264662356461765,3.8722923404859944,12.839217114249855,north west
7,2020-09-11,6107.87315295445,5659978518558.798,1.1642106082538726,3.78589000914012,12.75281478290398,north west
8,2020-09-12,5885.226031270577,5453658266911.119,1.188202793737418,3.769763147255656,12.736687921019518,north west
9,2020-09-13,5662.578909586704,5247338015263.439,1.2121949792209632,3.7530142670755096,12.719939040839371,north west
10,2020-09-14,18466.406239059674,17112251680849.105,1.2361871647045086,4.266382385293776,13.233307159057638,north west
11,2020-09-15,14218.294694366954,13175657143719.277,1.2601793501880538,4.152847511355932,13.119772285119794,north west
12,2020-09-16,9970.183149674234,9239062606589.45,1.2841715356715993,3.9987031362617365,12.965627910025598,north west
13,2020-09-17,10601.9741197759,9824523900471.287,1.3081637211551445,4.025386739745884,12.992311513509746,north west
14,2020-09-18,11233.765089877565,10409985194353.125,1.3321559066386899,4.050525338069892,13.017450111833753,north west
15,2020-09-19,8545.964096938771,7919282538742.8125,1.3347050628331627,3.9317610639393887,12.898685837703251,north west
16,2020-09-20,5858.163103999977,5428579883132.499,1.3372542190276357,3.7677614592167057,12.734686232980566,north west
17,2020-09-21,9344.2638781046,8659042435456.318,1.3398033752221086,3.9705450942360647,12.937469867999926,north west
18,2020-09-22,7085.25027207445,6565683886076.822,1.3423525314165814,3.850355195424866,12.817279969188728,north west
19,2020-09-23,4826.2366660442985,4472325336697.325,1.3449016876110542,3.6836086147623552,12.650533388526217,north west
20,2020-09-24,13996.59818194578,12970217792488.434,1.3474508438055273,4.146022494940248,13.11294726870411,north west
21,2020-09-25,23166.95969784726,21468110248279.54,1.35,4.364869043151886,13.331793816915749,north west
22,2020-09-26,9415.03945922853,3625599885196.4775,1.352549156194473,3.9738221445214887,12.5593798744315,north west
23,2020-09-27,12132.502647835518,6940339903681.598,1.3550983123889457,4.0839503947691265,12.84138074058143,north west
24,2020-09-28,14933.805121691565,13838698688140.219,1.3576474685834186,4.174170479714467,13.141095253478328,north west
25,2020-09-29,11440.755411436347,10601796770041.396,1.3601966247778916,4.058454701046794,13.025379474810656,north west
26,2020-09-30,7947.705701181129,7364894851942.573,1.3627457809723644,3.9002417770689495,12.867166550832811,north west
27,2020-10-01,4299.20000457763,17943141139.105198,1.3652949371668373,3.6333876495515143,10.253898473265833,north west
