,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper,log_weighted_avg,log_suspended_solids,log_ammonia,log_ophosph,region
0,2020-09-04,3980.616310795968,468.89193553665467,45.97083521699518,5.093077569110795,7.537024249762456,9377933.714470983,2.0,3.393284233041534,0.0,0.0,0.0,19.306062613933076,1908146.6583834281,0.8,0.9000291149564743,1.0000582299129483,3.5999503182184363,2.6710727633806735,1.6624823942623188,0.7069802906627765,West Midlands
1,2020-09-05,21521.917553935964,368.1616129633345,46.27686032746119,5.125626995497305,7.537024249762456,9377933.714470983,2.0,11.412196259600593,0.0,0.3712442630589743,0.0,19.31265998960989,1908146.6583834281,0.8142969501842778,0.9143260651407521,1.0143551800972261,4.332880963369468,2.5660385040286675,1.6653638863922315,0.7097469983188756,West Midlands
2,2020-09-06,39063.218797075955,267.4312903900144,46.58288543792721,5.158176421883814,7.537024249762456,9377933.714470983,2.0,19.431108286159652,0.0,0.7424885261179486,0.0,19.31925736528671,1908146.6583834281,0.8285939003685556,0.9286230153250299,1.0286521302815042,4.591768026156479,2.4272122198619956,1.6682263861084552,0.7124961919586337,West Midlands
3,2020-09-07,14120.461728295224,370.39940194530385,48.07988038906078,5.627958052230826,7.503994015644046,4877352.651365687,2.0,37.10742014703595,0.0,0.0,0.0,19.015826564138145,1543567.918415363,0.8428908505528334,0.9429199655093077,1.042949080465782,4.149848898045261,2.568670276789421,1.6819633785779715,0.7503508517775317,West Midlands
4,2020-09-08,15612.548949740354,375.3699586971594,51.023915834422965,5.671790943674063,7.520509132703251,7127643.182918334,2.0,42.347623102182816,0.0,0.3712442630589743,0.0,19.50755883650872,1725857.2883993955,0.8571878007371112,0.9572169156935855,1.0572460306500597,4.193473813019906,2.5744595125737844,1.707773785516871,0.7537202148262812,West Midlands
5,2020-09-09,17104.636171185484,380.34051544901496,53.967951279785154,5.7156238351173005,7.537024249762456,9377933.714470983,2.0,47.58782605732968,0.0,0.7424885261179486,0.0,19.999291108879298,1908146.6583834281,0.871484750921389,0.9715138658778633,1.0715429808343375,4.233113840840463,2.5801725907250868,1.7321359317807545,0.7570636386443744,West Midlands
6,2020-09-10,14213.0147807711,360.66100265116347,51.72790613461554,5.725739155825213,7.537024249762456,9377933.714470983,2.0,27.54959006540851,0.0,0.3712442630589743,0.0,19.62178991010177,1908146.6583834281,0.8857817011056668,0.985810816062141,1.0858399310186155,4.1526862076799285,2.557099185708946,1.7137248991980503,0.7578315592346375,West Midlands
7,2020-09-11,11321.393390356716,340.9814898533119,49.48786098944593,5.735854476533126,7.537024249762456,9377933.714470983,2.0,7.511354073487342,0.0,0.0,0.0,19.244288711324245,1908146.6583834281,0.9000786512899446,1.0001077662464188,1.1001368812028933,4.053899881313591,2.532730803999078,1.6944986827350546,0.758598124382135,West Midlands
8,2020-09-12,13555.491091424996,338.71051078301355,44.72866694731898,4.561080812415276,7.537024249762456,9377933.714470983,2.0,18.811334719153646,0.0,0.016024360107424196,0.0,19.7873108794339,1908146.6583834281,0.9428969493363879,1.0500813992742082,1.157265849212029,4.132115255921122,2.529828673775531,1.6505859550461104,0.6590677670611764,West Midlands
9,2020-09-13,15789.588792493274,336.43953171271517,39.96947290519203,3.3863071482974267,7.537024249762456,9377933.714470983,2.0,30.111315364819948,0.0,0.03204872021484839,0.0,20.330333047543554,1908146.6583834281,0.9857152473828311,1.1000550323019977,1.2143948172211643,4.19837081984512,2.5269070198131733,1.6017284210678124,0.5297263473821751,West Midlands
10,2020-09-14,5294.928098819856,458.0029902734801,42.559162723425544,4.879880579795655,7.503994015644046,4877352.651365687,2.0,23.398719277419257,0.0,0.0,0.0,19.299725891597646,1543567.918415363,1.0285335454292746,1.150028665329787,1.2715237852302999,3.7238600670879243,2.660868313495206,1.6289930753919513,0.6884091940989462,West Midlands
11,2020-09-15,18946.66789434516,414.20119610939196,44.059162723425544,4.451847637199161,7.503994015644046,4877352.651365687,2.0,43.0577471756862,0.0,0.4800299027348018,0.0,18.913742338101788,1543567.918415363,1.0713518434757177,1.2000022983575764,1.3286527532394352,4.27753284267655,2.6172113486930173,1.6440362397949768,0.6485402923527053,West Midlands
12,2020-09-16,32598.40768987046,370.39940194530385,45.55916272342554,4.023814694602667,7.503994015644046,4877352.651365687,2.0,62.716775073953144,0.0,0.9600598054696036,0.0,18.52775878460593,1543567.918415363,1.114170141522161,1.2499759313853658,1.3857817212485708,4.513196386927086,2.568670276789421,1.6585757341090512,0.6046379723051838,West Midlands
13,2020-09-17,59593.29545328063,384.99999999999994,49.73964116718237,5.7879431867083735,7.503994015644046,4877352.651365687,2.0,31.556245019158904,0.0,0.9600598054696036,0.0,18.47578669382508,1543567.918415363,1.1569884395686043,1.2999495644131553,1.4429106892577064,4.775197402165892,2.5854607295085006,1.6967026478483773,0.7625242595202293,West Midlands
14,2020-09-18,86588.1832166908,399.60059805469604,53.9201196109392,7.55207167881408,7.503994015644046,4877352.651365687,2.0,0.3957149643646641,0.0,0.9600598054696036,0.0,18.423814603044224,1543567.918415363,1.1998067376150476,1.3499231974409447,1.5000396572668417,4.937458627422065,2.601626129533074,1.7317508469232807,0.8780661033193682,West Midlands
