,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper,log_weighted_avg,log_suspended_solids,log_ammonia,log_ophosph,region
0,2020-09-04,1397.2607570286177,106.37872727290485,23.075305785102444,3.152823942650626,7.498117357167869,17633673.266087756,2.0,3.3709653626968947,1.0,0.0,0.0,24.523310881547943,114988.83105005922,0.8,0.9,1.0,3.14527746178423,2.0268547900674636,1.3631474648399962,0.498699719916912,North East
1,2020-09-05,4116.078605175982,155.8305619835195,26.83942561980915,3.357530541176456,7.498117357167869,17633673.266087756,2.0,13.72936532972477,1.0,0.0,0.0,22.879115702482924,114988.83105005922,0.8285714285714286,0.9285714285714286,1.0285714285714285,3.614483659935927,2.192652636899779,1.4287732174277825,0.526019971840851,North East
2,2020-09-06,6834.8964533233475,205.28239669413415,30.603545454515857,3.5622371397022867,7.498117357167869,17633673.266087756,2.0,24.087765296752643,1.0,0.0,0.0,21.234920523417905,114988.83105005922,0.8571428571428572,0.9571428571428571,1.0571428571428572,3.834731939519653,2.312351709495395,1.4857717428912705,0.55172282726537,North East
3,2020-09-07,1650.3916350731931,255.09413223137807,28.565892561964638,3.707530506535813,7.498117357167869,17633673.266087756,2.0,3.474968025776144,1.0,0.0,0.0,24.405702892567493,114988.83105005922,0.8857142857142857,0.9857142857142857,1.0857142857142856,3.2175870137709843,2.4067004689240106,1.4558477984536298,0.5690847332043059,North East
4,2020-09-08,15354.119471092768,354.4297107432501,29.065892561964638,3.8556478376175365,7.498117357167869,17633673.266087756,2.0,25.67404422451625,1.0,0.24529338843109733,0.0,24.159929683198705,114988.83105005922,0.9142857142857143,1.0142857142857142,1.1142857142857143,4.186224915548833,2.5495301203002656,1.463383663909787,0.5860973599912064,North East
5,2020-09-09,29057.847307112344,453.7652892551222,29.565892561964638,4.00376516869926,7.498117357167869,17633673.266087756,2.0,47.87312042325636,1.0,0.49058677686219465,0.0,23.914156473829916,114988.83105005922,0.9428571428571428,1.0428571428571427,1.1428571428571428,4.463263437309846,2.6568312714926874,1.4707909944085156,0.602468597046816,North East
6,2020-09-10,17680.32945285935,344.3355785118721,31.065892561964638,4.25188258434963,7.498117357167869,17633673.266087756,2.0,25.845213455755534,1.0,0.24529338843109733,0.0,23.7449704545457,114988.83105005922,0.9714285714285714,1.0714285714285714,1.1714285714285713,4.247490353336884,2.5369818985486647,1.492283835952267,0.6285812629836385,North East
7,2020-09-11,6302.811598606356,234.90586776862196,32.56589256196464,4.5,7.498117357167869,17633673.266087756,2.0,3.817306488254706,1.0,0.0,0.0,23.575784435261486,114988.83105005922,1.0,1.0999999999999999,1.2,3.799534325544063,2.3708938652565568,1.5127629857627907,0.6532125137753437,North East
8,2020-09-12,5048.555581472881,202.35880165293293,32.82059917353354,4.329235937817797,7.498117357167869,17633673.266087756,2.0,5.868751173496376,1.0,0.0,0.0,24.03757844352615,114988.83105005922,1.0285714285714285,1.1285714285714283,1.2285714285714284,3.703167141935555,2.3061220988989155,1.5161465052784404,0.6364112549515591,North East
9,2020-09-13,3794.299564339407,169.8117355372439,33.075305785102444,4.158471875635595,7.498117357167869,17633673.266087756,2.0,7.9201958587380465,1.0,0.0,0.0,24.499372451790812,114988.83105005922,1.0571428571428572,1.157142857142857,1.2571428571428571,3.579131615957943,2.2299677006485092,1.519503867981799,0.6189337686310997,North East
10,2020-09-14,8521.200468836425,280.0,32.56589256196464,4.113178656341789,7.498117357167869,17633673.266087756,2.0,17.243777569541578,1.0,0.0,0.0,23.95346983471213,114988.83105005922,1.0857142857142856,1.1857142857142855,1.2857142857142856,3.9305007825912517,2.4471580313422194,1.5127629857627907,0.6141775735447498,North East
11,2020-09-15,8389.811613008595,289.6234710744878,32.32059917353354,4.331118643621004,7.498117357167869,17633673.266087756,2.0,14.838008871012082,1.0,0.0,0.0,24.031764462810365,114988.83105005922,1.1142857142857143,1.2142857142857142,1.3142857142857143,3.923752209178,2.4618337541587025,1.509479403319977,0.6366000806506854,North East
12,2020-09-16,8258.422757180764,299.24694214897556,32.075305785102444,4.549058630900219,7.498117357167869,17633673.266087756,2.0,12.432240172482585,1.0,0.0,0.0,24.110059090908596,114988.83105005922,1.1428571428571428,1.2428571428571427,1.3428571428571427,3.9168971110903117,2.476029721268552,1.5061708053478116,0.6579215343046402,North East
13,2020-09-17,4901.085648074541,274.5293388431097,33.32059917353354,4.748117357167869,7.498117357167869,17633673.266087756,2.0,8.50374323061984,1.0,0.0,0.0,24.967764876032746,114988.83105005922,1.1714285714285713,1.2714285714285714,1.3714285714285714,3.6902922920170464,2.438588764147836,1.522712802321175,0.6765214446845208,North East
14,2020-09-18,1543.7485389683168,249.81173553724392,34.56589256196464,4.947176083435519,7.498117357167869,17633673.266087756,2.0,4.575246288757096,1.0,0.0,0.0,25.825470661156892,114988.83105005922,1.2,1.2999999999999998,1.4,3.188576559579742,2.397612836597567,1.538647775734037,0.6943573683596249,North East
15,2020-09-19,4312.022696715233,164.8211487603817,34.30177272725793,4.55188265811949,7.498117357167869,17633673.266087756,2.0,7.874332397291121,1.0,0.0,0.0,24.77955888429741,114988.83105005922,1.2,1.307142857142857,1.4142857142857141,3.634681038132356,2.217012936733924,1.5353165651090013,0.6581910579590599,North East
16,2020-09-20,7080.29685446215,79.8305619835195,34.03765289255122,4.156589232803463,7.498117357167869,17633673.266087756,2.0,11.173418505825145,1.0,0.0,0.0,23.73364710743793,114988.83105005922,1.2,1.3142857142857143,1.4285714285714284,3.8500514666660615,1.902169186586376,1.5319596051447066,0.6187371082826794,North East
17,2020-09-21,9912.243526592294,255.28239669413418,32.58471900824025,4.062237139702287,7.498117357167869,17633673.266087756,2.0,5.853809927270126,1.0,0.0,0.0,25.08809490358705,114988.83105005922,1.2,1.3214285714285714,1.4428571428571426,3.9961719633595347,2.4070208685364065,1.513013980243483,0.6087652724557956,North East
18,2020-09-22,6905.793235673844,275.75305785102444,32.56589256196464,4.404706585482758,7.498117357167869,17633673.266087756,2.0,9.988482330732893,1.0,0.0,0.0,25.055232231410606,114988.83105005922,1.2,1.3285714285714285,1.457142857142857,3.8392135711246174,2.44052033707039,1.5127629857627907,0.64391698367885,North East
19,2020-09-23,3899.342944755394,296.2237190079147,32.54706611568903,4.747176031263229,7.498117357167869,17633673.266087756,2.0,14.12315473419566,1.0,0.0,0.0,25.02236955923416,114988.83105005922,1.2,1.3357142857142856,1.4714285714285713,3.590991432793815,2.471619830086048,1.5125118461394274,0.6764353362030504,North East
20,2020-09-24,13457.94403902283,223.48838842946958,27.62237190079147,3.834883870802766,7.498117357167869,17633673.266087756,2.0,19.805274759286654,0.7452933884310973,0.2547066115689027,0.0,25.00114400827009,114988.83105005922,1.2,1.342857142857143,1.4857142857142855,4.128978718082073,2.3492549638348086,1.4412609682034092,0.5837522170377579,North East
21,2020-09-25,23016.545133290267,150.75305785102444,22.697677685893915,2.922591710342303,7.498117357167869,17633673.266087756,2.0,25.487394784377646,0.49058677686219465,0.5094132231378053,0.0,24.979918457306013,114988.83105005922,1.2,1.35,1.4999999999999998,4.362040135012624,2.17826613006166,1.3559814246030075,0.4657681481215326,North East
22,2020-09-26,21105.12449019889,190.09413223137807,29.311185950395735,3.5575305303776714,7.498117357167869,17633673.266087756,2.0,19.926222701647042,0.5,0.5,0.0,26.314193112953127,114988.83105005922,1.2,1.3571428571428572,1.514285714285714,4.324387918217362,2.2789687114006147,1.4670333906422182,0.5511486358449118,North East
23,2020-09-27,19193.703847107514,229.43520661173167,35.924694214897556,4.19246935041304,7.498117357167869,17633673.266087756,2.0,14.365050618916436,0.5094132231378053,0.49058677686219465,0.0,27.64846776860024,114988.83105005922,1.2,1.3642857142857143,1.5285714285714285,4.2831587894904,2.360660060749298,1.555393080178627,0.6224698963240041,North East
24,2020-09-28,10479.555025976584,260.3765289255122,29.075305785102444,3.7094131493679443,7.498117357167869,17633673.266087756,2.0,6.176452791028089,1.0,0.49058677686219465,0.0,21.350959641875384,114988.83105005922,1.2,1.3714285714285714,1.5428571428571427,4.0203428423933465,2.415601833131371,1.463524290901236,0.569305207148529,North East
25,2020-09-29,8730.043158091914,242.64119834706707,30.32059917353354,4.079235937817797,7.498117357167869,17633673.266087756,2.0,6.093867906840504,1.0,0.24529338843109733,0.0,23.898588016529327,114988.83105005922,1.2,1.3785714285714286,1.5571428571428572,3.941016390701542,2.384964542184875,1.4817377792551407,0.6105788250839538,North East
